epoch,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,0.01,49,
0,,0.8297237753868103,,49,
,,,0.01,99,
0,,0.5950432419776917,,99,
,,,0.01,149,
0,,0.6012303233146667,,149,
,,,0.01,199,
0,,0.5780734419822693,,199,
,,,0.01,249,
0,,0.5534453988075256,,249,
,,,0.01,299,
0,,0.5320985317230225,,299,
,,,0.01,349,
0,,0.5312613844871521,,349,
,,,0.01,399,
0,,0.47949057817459106,,399,
,,,0.01,449,
0,,0.5057731866836548,,449,
,,,0.01,499,
0,,0.4856344163417816,,499,
,,,0.01,549,
0,,0.4629112780094147,,549,
,,,0.01,599,
0,,0.4158739149570465,,599,
,,,0.01,649,
0,,0.4462946951389313,,649,
,,,0.01,699,
0,,0.4058486521244049,,699,
,,,0.01,749,
0,,0.4475662410259247,,749,
,,,0.01,799,
0,,0.4380231499671936,,799,
,,,0.01,849,
0,,0.43622085452079773,,849,
,,,0.01,899,
0,,0.4183271527290344,,899,
,,,0.01,949,
0,,0.4194626808166504,,949,
,,,0.01,999,
0,,0.41448307037353516,,999,
,,,0.01,1049,
0,,0.4007270932197571,,1049,
,,,0.01,1099,
0,,0.42400532960891724,,1099,
,,,0.01,1149,
0,,0.36990150809288025,,1149,
,,,0.01,1199,
0,,0.41631603240966797,,1199,
,,,0.01,1249,
0,,0.4035429060459137,,1249,
,,,0.01,1299,
0,,0.40116044878959656,,1299,
,,,0.01,1349,
0,,0.4028928279876709,,1349,
,,,0.01,1399,
0,,0.4058663547039032,,1399,
,,,0.01,1449,
0,,0.3968183994293213,,1449,
,,,0.01,1499,
0,,0.3889552056789398,,1499,
,,,0.01,1549,
0,,0.4068889617919922,,1549,
,,,0.01,1599,
0,,0.41330966353416443,,1599,
,,,0.01,1649,
0,,0.37992578744888306,,1649,
,,,0.01,1699,
0,,0.3610806465148926,,1699,
,,,0.01,1749,
0,,0.38612329959869385,,1749,
0,,,,1759,0.44212421774864197
0,0.47305813431739807,,,1759,
,,,0.009997656161737225,1799,
1,,0.38377735018730164,,1799,
,,,0.009997656161737225,1849,
1,,0.37071526050567627,,1849,
,,,0.009997656161737225,1899,
1,,0.3891300559043884,,1899,
