epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,,,5.989725684847713e-06,49,
0,,5.989725650579203e-06,,2.893293640227057e-05,,49,
,,,,,5.989725684847713e-06,99,
0,,5.989725650579203e-06,,2.4378525267820805e-05,,99,
,,,,,5.989725684847713e-06,149,
0,,5.989725650579203e-06,,2.935724114649929e-05,,149,
,,,,,5.989725684847713e-06,199,
0,,5.989725650579203e-06,,1.9686180166900158e-05,,199,
,,,,,5.989725684847713e-06,249,
0,,5.989725650579203e-06,,2.153977948182728e-05,,249,
,,,,,5.989725684847713e-06,299,
0,,5.989725650579203e-06,,2.663575651240535e-05,,299,
,,,,,5.989725684847713e-06,349,
0,,5.989725650579203e-06,,2.239961759187281e-05,,349,
,,,,,5.989725684847713e-06,399,
0,,5.989725650579203e-06,,2.5083003492909484e-05,,399,
,,,,,5.989725684847713e-06,449,
0,,5.989725650579203e-06,,1.8407734387437813e-05,,449,
,,,,,5.989725684847713e-06,499,
0,,5.989725650579203e-06,,1.988676558539737e-05,,499,
,,,,,5.989725684847713e-06,549,
0,,5.989725650579203e-06,,1.771135430317372e-05,,549,
,,,,,5.989725684847713e-06,599,
0,,5.989725650579203e-06,,2.319628038094379e-05,,599,
,,,,,5.989725684847713e-06,649,
0,,5.989725650579203e-06,,1.911261279019527e-05,,649,
,,,,,5.989725684847713e-06,699,
0,,5.989725650579203e-06,,1.855795744631905e-05,,699,
,,,,,5.989725684847713e-06,749,
0,,5.989725650579203e-06,,1.9259936379967257e-05,,749,
,,,,,5.989725684847713e-06,799,
0,,5.989725650579203e-06,,2.0055953427799977e-05,,799,
,,,,,5.989725684847713e-06,849,
0,,5.989725650579203e-06,,2.1343937987694517e-05,,849,
,,,,,5.989725684847713e-06,899,
0,,5.989725650579203e-06,,2.063541251118295e-05,,899,
,,,,,5.989725684847713e-06,949,
0,,5.989725650579203e-06,,1.855478149082046e-05,,949,
,,,,,5.989725684847713e-06,999,
0,,5.989725650579203e-06,,1.7742439013090916e-05,,999,
,,,,,5.989725684847713e-06,1049,
0,,5.989725650579203e-06,,2.140770448022522e-05,,1049,
,,,,,5.989725684847713e-06,1099,
0,,5.989725650579203e-06,,1.5448547856067307e-05,,1099,
,,,,,5.989725684847713e-06,1149,
0,,5.989725650579203e-06,,2.0747600501636043e-05,,1149,
,,,,,5.989725684847713e-06,1199,
0,,5.989725650579203e-06,,1.965327282960061e-05,,1199,
,,,,,5.989725684847713e-06,1249,
0,,5.989725650579203e-06,,1.9055949451285414e-05,,1249,
,,,,,5.989725684847713e-06,1299,
0,,5.989725650579203e-06,,2.1891846699872985e-05,,1299,
,,,,,5.989725684847713e-06,1349,
0,,5.989725650579203e-06,,1.4244103113014717e-05,,1349,
,,,,,5.989725684847713e-06,1399,
0,,5.989725650579203e-06,,1.7645714251557365e-05,,1399,
,,,,,5.989725684847713e-06,1449,
0,,5.989725650579203e-06,,1.901412360894028e-05,,1449,
,,,,,5.989725684847713e-06,1499,
0,,5.989725650579203e-06,,1.5149524188018404e-05,,1499,
,,,,,5.989725684847713e-06,1549,
0,,5.989725650579203e-06,,2.0753464923473075e-05,,1549,
,,,,,5.989725684847713e-06,1599,
0,,5.989725650579203e-06,,1.9181508832843974e-05,,1599,
,,,,,5.989725684847713e-06,1649,
0,,5.989725650579203e-06,,1.799706842575688e-05,,1649,
,,,,,5.989725684847713e-06,1699,
0,,5.989725650579203e-06,,1.6072241123765707e-05,,1699,
,,,,,5.989725684847713e-06,1749,
0,,5.989725650579203e-06,,1.746265115798451e-05,,1749,
,,,,,5.989725684847713e-06,1799,
0,,5.989725650579203e-06,,1.5076996533025522e-05,,1799,
,,,,,5.989725684847713e-06,1849,
0,,5.989725650579203e-06,,1.855750997492578e-05,,1849,
,,,,,5.989725684847713e-06,1899,
0,,5.989725650579203e-06,,1.8083765098708682e-05,,1899,
,,,,,5.989725684847713e-06,1949,
0,,5.989725650579203e-06,,1.909420643642079e-05,,1949,
,,,,,5.989725684847713e-06,1999,
0,,5.989725650579203e-06,,1.478537615184905e-05,,1999,
,,,,,5.989725684847713e-06,2049,
0,,5.989725650579203e-06,,1.9512530343490653e-05,,2049,
,,,,,5.989725684847713e-06,2099,
0,,5.989725650579203e-06,,1.8504035324440338e-05,,2099,
,,,,,5.989725684847713e-06,2149,
0,,5.989725650579203e-06,,1.4967438801249955e-05,,2149,
,,,,,5.989725684847713e-06,2199,
0,,5.989725650579203e-06,,1.958432767423801e-05,,2199,
,,,,,5.989725684847713e-06,2249,
0,,5.989725650579203e-06,,1.9892606360372156e-05,,2249,
,,,,,5.989725684847713e-06,2299,
0,,5.989725650579203e-06,,2.1706891857320443e-05,,2299,
,,,,,5.989725684847713e-06,2349,
0,,5.989725650579203e-06,,1.8238531993119977e-05,,2349,
,,,,,5.989725684847713e-06,2399,
0,,5.989725650579203e-06,,1.852510467870161e-05,,2399,
,,,,,5.989725684847713e-06,2449,
0,,5.989725650579203e-06,,1.433573470421834e-05,,2449,
,,,,,5.989725684847713e-06,2499,
0,,5.989725650579203e-06,,1.6768310160841793e-05,,2499,
,,,,,5.989725684847713e-06,2549,
0,,5.989725650579203e-06,,2.1051475414424203e-05,,2549,
,,,,,5.989725684847713e-06,2599,
0,,5.989725650579203e-06,,2.2996526240603998e-05,,2599,
,,,,,5.989725684847713e-06,2649,
0,,5.989725650579203e-06,,1.5519643056904897e-05,,2649,
,,,,,5.989725684847713e-06,2699,
0,,5.989725650579203e-06,,1.7948141248780303e-05,,2699,
,,,,,5.989725684847713e-06,2749,
0,,5.989725650579203e-06,,1.4862931493553333e-05,,2749,
,,,,,5.989725684847713e-06,2799,
0,,5.989725650579203e-06,,1.6495550880790688e-05,,2799,
0,,,,,,2799,0.023061208426952362
0,5.989816145302029e-06,,1.9561526642064564e-05,,,2799,
,,,,,5.638268590217985e-06,2849,
1,,5.6382687034783885e-06,,1.9100010831607506e-05,,2849,
,,,,,5.638268590217985e-06,2899,
1,,5.6382687034783885e-06,,1.7202106391778216e-05,,2899,
,,,,,5.638268590217985e-06,2949,
1,,5.6382687034783885e-06,,1.863133002188988e-05,,2949,
,,,,,5.638268590217985e-06,2999,
1,,5.6382687034783885e-06,,1.6404035704908893e-05,,2999,
,,,,,5.638268590217985e-06,3049,
1,,5.6382687034783885e-06,,1.8792348782881163e-05,,3049,
,,,,,5.638268590217985e-06,3099,
1,,5.6382687034783885e-06,,1.819212775444612e-05,,3099,
,,,,,5.638268590217985e-06,3149,
1,,5.6382687034783885e-06,,1.7195354303112254e-05,,3149,
