epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,,,1.7385346982239447e-05,49,
0,,1.7385347746312618e-05,,0.02047979272902012,,49,
,,,,,1.7385346982239447e-05,99,
0,,1.7385347746312618e-05,,0.019321858882904053,,99,
,,,,,1.7385346982239447e-05,149,
0,,1.7385347746312618e-05,,0.01504490990191698,,149,
,,,,,1.7385346982239447e-05,199,
0,,1.7385347746312618e-05,,0.01685386523604393,,199,
,,,,,1.7385346982239447e-05,249,
0,,1.7385347746312618e-05,,0.017730874940752983,,249,
,,,,,1.7385346982239447e-05,299,
0,,1.7385347746312618e-05,,0.02189432829618454,,299,
,,,,,1.7385346982239447e-05,349,
0,,1.7385347746312618e-05,,0.018042419105768204,,349,
,,,,,1.7385346982239447e-05,399,
0,,1.7385347746312618e-05,,0.021512402221560478,,399,
,,,,,1.7385346982239447e-05,449,
0,,1.7385347746312618e-05,,0.0181878749281168,,449,
,,,,,1.7385346982239447e-05,499,
0,,1.7385347746312618e-05,,0.017993763089179993,,499,
,,,,,1.7385346982239447e-05,549,
0,,1.7385347746312618e-05,,0.020597679540514946,,549,
,,,,,1.7385346982239447e-05,599,
0,,1.7385347746312618e-05,,0.021050212904810905,,599,
,,,,,1.7385346982239447e-05,649,
0,,1.7385347746312618e-05,,0.018601199612021446,,649,
,,,,,1.7385346982239447e-05,699,
0,,1.7385347746312618e-05,,0.01605209708213806,,699,
,,,,,1.7385346982239447e-05,749,
0,,1.7385347746312618e-05,,0.017816880717873573,,749,
,,,,,1.7385346982239447e-05,799,
0,,1.7385347746312618e-05,,0.01894250698387623,,799,
,,,,,1.7385346982239447e-05,849,
0,,1.7385347746312618e-05,,0.018252218142151833,,849,
,,,,,1.7385346982239447e-05,899,
0,,1.7385347746312618e-05,,0.02220684289932251,,899,
,,,,,1.7385346982239447e-05,949,
0,,1.7385347746312618e-05,,0.01939304731786251,,949,
,,,,,1.7385346982239447e-05,999,
0,,1.7385347746312618e-05,,0.015977123752236366,,999,
,,,,,1.7385346982239447e-05,1049,
0,,1.7385347746312618e-05,,0.019184334203600883,,1049,
,,,,,1.7385346982239447e-05,1099,
0,,1.7385347746312618e-05,,0.022241804748773575,,1099,
,,,,,1.7385346982239447e-05,1149,
0,,1.7385347746312618e-05,,0.016178056597709656,,1149,
,,,,,1.7385346982239447e-05,1199,
0,,1.7385347746312618e-05,,0.016326289623975754,,1199,
,,,,,1.7385346982239447e-05,1249,
0,,1.7385347746312618e-05,,0.017469218000769615,,1249,
,,,,,1.7385346982239447e-05,1299,
0,,1.7385347746312618e-05,,0.017206696793437004,,1299,
,,,,,1.7385346982239447e-05,1349,
0,,1.7385347746312618e-05,,0.01807626523077488,,1349,
,,,,,1.7385346982239447e-05,1399,
0,,1.7385347746312618e-05,,0.01757482998073101,,1399,
,,,,,1.7385346982239447e-05,1449,
0,,1.7385347746312618e-05,,0.02062363363802433,,1449,
,,,,,1.7385346982239447e-05,1499,
0,,1.7385347746312618e-05,,0.017220741137862206,,1499,
,,,,,1.7385346982239447e-05,1549,
0,,1.7385347746312618e-05,,0.016640467569231987,,1549,
,,,,,1.7385346982239447e-05,1599,
0,,1.7385347746312618e-05,,0.021410470828413963,,1599,
,,,,,1.7385346982239447e-05,1649,
0,,1.7385347746312618e-05,,0.02011130563914776,,1649,
,,,,,1.7385346982239447e-05,1699,
0,,1.7385347746312618e-05,,0.017008977010846138,,1699,
,,,,,1.7385346982239447e-05,1749,
0,,1.7385347746312618e-05,,0.019448189064860344,,1749,
,,,,,1.7385346982239447e-05,1799,
0,,1.7385347746312618e-05,,0.022373316809535027,,1799,
,,,,,1.7385346982239447e-05,1849,
0,,1.7385347746312618e-05,,0.019630378112196922,,1849,
,,,,,1.7385346982239447e-05,1899,
0,,1.7385347746312618e-05,,0.01699143461883068,,1899,
,,,,,1.7385346982239447e-05,1949,
0,,1.7385347746312618e-05,,0.017361868172883987,,1949,
,,,,,1.7385346982239447e-05,1999,
0,,1.7385347746312618e-05,,0.01916627399623394,,1999,
,,,,,1.7385346982239447e-05,2049,
0,,1.7385347746312618e-05,,0.01723673939704895,,2049,
,,,,,1.7385346982239447e-05,2099,
0,,1.7385347746312618e-05,,0.02141822874546051,,2099,
,,,,,1.7385346982239447e-05,2149,
0,,1.7385347746312618e-05,,0.018862497061491013,,2149,
,,,,,1.7385346982239447e-05,2199,
0,,1.7385347746312618e-05,,0.016446508467197418,,2199,
,,,,,1.7385346982239447e-05,2249,
0,,1.7385347746312618e-05,,0.019396351650357246,,2249,
,,,,,1.7385346982239447e-05,2299,
0,,1.7385347746312618e-05,,0.01635495387017727,,2299,
,,,,,1.7385346982239447e-05,2349,
0,,1.7385347746312618e-05,,0.017235253006219864,,2349,
,,,,,1.7385346982239447e-05,2399,
0,,1.7385347746312618e-05,,0.01820492185652256,,2399,
,,,,,1.7385346982239447e-05,2449,
0,,1.7385347746312618e-05,,0.01922030560672283,,2449,
,,,,,1.7385346982239447e-05,2499,
0,,1.7385347746312618e-05,,0.021133292466402054,,2499,
,,,,,1.7385346982239447e-05,2549,
0,,1.7385347746312618e-05,,0.019512075930833817,,2549,
,,,,,1.7385346982239447e-05,2599,
0,,1.7385347746312618e-05,,0.020716359838843346,,2599,
,,,,,1.7385346982239447e-05,2649,
0,,1.7385347746312618e-05,,0.020016128197312355,,2649,
,,,,,1.7385346982239447e-05,2699,
0,,1.7385347746312618e-05,,0.01803426444530487,,2699,
,,,,,1.7385346982239447e-05,2749,
0,,1.7385347746312618e-05,,0.019693715497851372,,2749,
,,,,,1.7385346982239447e-05,2799,
0,,1.7385347746312618e-05,,0.020075595006346703,,2799,
,,,,,1.7385346982239447e-05,2849,
0,,1.7385347746312618e-05,,0.02105422131717205,,2849,
,,,,,1.7385346982239447e-05,2899,
0,,1.7385347746312618e-05,,0.01985444501042366,,2899,
,,,,,1.7385346982239447e-05,2949,
0,,1.7385347746312618e-05,,0.018890537321567535,,2949,
,,,,,1.7385346982239447e-05,2999,
0,,1.7385347746312618e-05,,0.016083229333162308,,2999,
,,,,,1.7385346982239447e-05,3049,
0,,1.7385347746312618e-05,,0.0190042145550251,,3049,
,,,,,1.7385346982239447e-05,3099,
0,,1.7385347746312618e-05,,0.01932813599705696,,3099,
,,,,,1.7385346982239447e-05,3149,
0,,1.7385347746312618e-05,,0.017133092507719994,,3149,
,,,,,1.7385346982239447e-05,3199,
0,,1.7385347746312618e-05,,0.017498036846518517,,3199,
,,,,,1.7385346982239447e-05,3249,
0,,1.7385347746312618e-05,,0.022890491411089897,,3249,
,,,,,1.7385346982239447e-05,3299,
0,,1.7385347746312618e-05,,0.016403215005993843,,3299,
,,,,,1.7385346982239447e-05,3349,
0,,1.7385347746312618e-05,,0.020442573353648186,,3349,
,,,,,1.7385346982239447e-05,3399,
0,,1.7385347746312618e-05,,0.019726648926734924,,3399,
,,,,,1.7385346982239447e-05,3449,
0,,1.7385347746312618e-05,,0.01945096254348755,,3449,
,,,,,1.7385346982239447e-05,3499,
0,,1.7385347746312618e-05,,0.019145242869853973,,3499,
,,,,,1.7385346982239447e-05,3549,
0,,1.7385347746312618e-05,,0.021752897650003433,,3549,
,,,,,1.7385346982239447e-05,3599,
0,,1.7385347746312618e-05,,0.02045653574168682,,3599,
,,,,,1.7385346982239447e-05,3649,
0,,1.7385347746312618e-05,,0.019442856311798096,,3649,
,,,,,1.7385346982239447e-05,3699,
0,,1.7385347746312618e-05,,0.016718696802854538,,3699,
,,,,,1.7385346982239447e-05,3749,
0,,1.7385347746312618e-05,,0.013928336091339588,,3749,
,,,,,1.7385346982239447e-05,3799,
0,,1.7385347746312618e-05,,0.017660481855273247,,3799,
,,,,,1.7385346982239447e-05,3849,
0,,1.7385347746312618e-05,,0.018684623762965202,,3849,
,,,,,1.7385346982239447e-05,3899,
0,,1.7385347746312618e-05,,0.014023951254785061,,3899,
,,,,,1.7385346982239447e-05,3949,
0,,1.7385347746312618e-05,,0.015273264609277248,,3949,
,,,,,1.7385346982239447e-05,3999,
0,,1.7385347746312618e-05,,0.018985187634825706,,3999,
,,,,,1.7385346982239447e-05,4049,
0,,1.7385347746312618e-05,,0.01856658235192299,,4049,
,,,,,1.7385346982239447e-05,4099,
0,,1.7385347746312618e-05,,0.020431838929653168,,4099,
,,,,,1.7385346982239447e-05,4149,
