epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,,,6e-06,49,
0,,6.000000212225132e-06,,1.06733241409529e-05,,49,
,,,,,6e-06,99,
0,,6.000000212225132e-06,,8.20975037640892e-06,,99,
,,,,,6e-06,149,
0,,6.000000212225132e-06,,8.351902579306625e-06,,149,
,,,,,6e-06,199,
0,,6.000000212225132e-06,,8.476637958665378e-06,,199,
,,,,,6e-06,249,
0,,6.000000212225132e-06,,8.373956006835215e-06,,249,
,,,,,6e-06,299,
0,,6.000000212225132e-06,,8.949541552283335e-06,,299,
,,,,,6e-06,349,
0,,6.000000212225132e-06,,8.161719961208291e-06,,349,
,,,,,6e-06,399,
0,,6.000000212225132e-06,,7.817776349838823e-06,,399,
,,,,,6e-06,449,
0,,6.000000212225132e-06,,7.535523309343262e-06,,449,
,,,,,6e-06,499,
0,,6.000000212225132e-06,,9.491156561125536e-06,,499,
,,,,,6e-06,549,
0,,6.000000212225132e-06,,9.157915883406531e-06,,549,
,,,,,6e-06,599,
0,,6.000000212225132e-06,,8.076090125541668e-06,,599,
,,,,,6e-06,649,
0,,6.000000212225132e-06,,7.150791589083383e-06,,649,
,,,,,6e-06,699,
0,,6.000000212225132e-06,,8.987287401396316e-06,,699,
,,,,,6e-06,749,
0,,6.000000212225132e-06,,8.274026185972616e-06,,749,
,,,,,6e-06,799,
0,,6.000000212225132e-06,,9.551954462949652e-06,,799,
,,,,,6e-06,849,
0,,6.000000212225132e-06,,7.813580850779545e-06,,849,
,,,,,6e-06,899,
0,,6.000000212225132e-06,,8.229780178226065e-06,,899,
,,,,,6e-06,949,
0,,6.000000212225132e-06,,8.090792107395828e-06,,949,
,,,,,6e-06,999,
0,,6.000000212225132e-06,,8.122320650727488e-06,,999,
,,,,,6e-06,1049,
0,,6.000000212225132e-06,,7.984767762536649e-06,,1049,
,,,,,6e-06,1099,
0,,6.000000212225132e-06,,6.518489044538001e-06,,1099,
,,,,,6e-06,1149,
0,,6.000000212225132e-06,,7.680117050767876e-06,,1149,
,,,,,6e-06,1199,
0,,6.000000212225132e-06,,7.852850103517994e-06,,1199,
,,,,,6e-06,1249,
0,,6.000000212225132e-06,,8.832977982820012e-06,,1249,
,,,,,6e-06,1299,
0,,6.000000212225132e-06,,9.328108717454597e-06,,1299,
,,,,,6e-06,1349,
0,,6.000000212225132e-06,,8.853099643602036e-06,,1349,
,,,,,6e-06,1399,
0,,6.000000212225132e-06,,7.617265964654507e-06,,1399,
,,,,,6e-06,1449,
0,,6.000000212225132e-06,,8.527905265509617e-06,,1449,
,,,,,6e-06,1499,
0,,6.000000212225132e-06,,9.226413567375857e-06,,1499,
,,,,,6e-06,1549,
0,,6.000000212225132e-06,,7.702186849201098e-06,,1549,
,,,,,6e-06,1599,
0,,6.000000212225132e-06,,1.1224186891922727e-05,,1599,
,,,,,6e-06,1649,
0,,6.000000212225132e-06,,8.909283678804059e-06,,1649,
,,,,,6e-06,1699,
0,,6.000000212225132e-06,,8.928222996473778e-06,,1699,
,,,,,6e-06,1749,
0,,6.000000212225132e-06,,1.0559852853475604e-05,,1749,
,,,,,6e-06,1799,
0,,6.000000212225132e-06,,9.345514627057128e-06,,1799,
,,,,,6e-06,1849,
0,,6.000000212225132e-06,,8.315063496411312e-06,,1849,
,,,,,6e-06,1899,
0,,6.000000212225132e-06,,1.0146396562049631e-05,,1899,
,,,,,6e-06,1949,
0,,6.000000212225132e-06,,8.987968612927943e-06,,1949,
,,,,,6e-06,1999,
0,,6.000000212225132e-06,,7.63793104852084e-06,,1999,
,,,,,6e-06,2049,
0,,6.000000212225132e-06,,8.266660188382957e-06,,2049,
,,,,,6e-06,2099,
0,,6.000000212225132e-06,,6.92341245667194e-06,,2099,
,,,,,6e-06,2149,
0,,6.000000212225132e-06,,9.870211215456948e-06,,2149,
,,,,,6e-06,2199,
0,,6.000000212225132e-06,,8.087143214652315e-06,,2199,
