epoch,learning_rate_step,loss_step,lr-AdamW,step
,,,2.9185850380609762e-06,49
0,2.918585096267634e-06,0.027510229498147964,,49
,,,2.9185850380609762e-06,99
0,2.918585096267634e-06,0.022853685542941093,,99
,,,2.9185850380609762e-06,149
0,2.918585096267634e-06,0.024884967133402824,,149
,,,2.9185850380609762e-06,199
0,2.918585096267634e-06,0.02440308965742588,,199
,,,2.9185850380609762e-06,249
0,2.918585096267634e-06,0.02361990325152874,,249
,,,2.9185850380609762e-06,299
0,2.918585096267634e-06,0.02508690394461155,,299
,,,2.9185850380609762e-06,349
0,2.918585096267634e-06,0.02554073929786682,,349
,,,2.9185850380609762e-06,399
0,2.918585096267634e-06,0.02374340035021305,,399
,,,2.9185850380609762e-06,449
0,2.918585096267634e-06,0.024084262549877167,,449
,,,2.9185850380609762e-06,499
0,2.918585096267634e-06,0.02238723449409008,,499
,,,2.9185850380609762e-06,549
0,2.918585096267634e-06,0.024796927347779274,,549
,,,2.9185850380609762e-06,599
0,2.918585096267634e-06,0.02221354842185974,,599
,,,2.9185850380609762e-06,649
0,2.918585096267634e-06,0.022739294916391373,,649
,,,2.9185850380609762e-06,699
0,2.918585096267634e-06,0.023388518020510674,,699
,,,2.9185850380609762e-06,749
0,2.918585096267634e-06,0.026672622188925743,,749
,,,2.9185850380609762e-06,799
0,2.918585096267634e-06,0.026290152221918106,,799
,,,2.9185850380609762e-06,849
0,2.918585096267634e-06,0.02483413927257061,,849
,,,2.9185850380609762e-06,899
0,2.918585096267634e-06,0.02511693350970745,,899
,,,2.9185850380609762e-06,949
0,2.918585096267634e-06,0.02595020830631256,,949
,,,2.9185850380609762e-06,999
0,2.918585096267634e-06,0.024572884663939476,,999
,,,2.9185850380609762e-06,1049
0,2.918585096267634e-06,0.021656019613146782,,1049
,,,2.9185850380609762e-06,1099
0,2.918585096267634e-06,0.023215776309370995,,1099
,,,2.9185850380609762e-06,1149
0,2.918585096267634e-06,0.025212997570633888,,1149
,,,2.9185850380609762e-06,1199
0,2.918585096267634e-06,0.023651106283068657,,1199
,,,2.9185850380609762e-06,1249
0,2.918585096267634e-06,0.02572993002831936,,1249
,,,2.9185850380609762e-06,1299
0,2.918585096267634e-06,0.02192331664264202,,1299
,,,2.9185850380609762e-06,1349
0,2.918585096267634e-06,0.027430057525634766,,1349
,,,2.9185850380609762e-06,1399
0,2.918585096267634e-06,0.025739658623933792,,1399
,,,2.9185850380609762e-06,1449
0,2.918585096267634e-06,0.024799568578600883,,1449
,,,2.9185850380609762e-06,1499
0,2.918585096267634e-06,0.024291299283504486,,1499
,,,2.9185850380609762e-06,1549
0,2.918585096267634e-06,0.02380833961069584,,1549
,,,2.9185850380609762e-06,1599
0,2.918585096267634e-06,0.023383645340800285,,1599
,,,2.9185850380609762e-06,1649
0,2.918585096267634e-06,0.023368582129478455,,1649
