epoch,learning_rate_step,loss_step,lr-AdamW,step
,,,5e-06,49
0,4.999999873689376e-06,0.007736613042652607,,49
,,,5e-06,99
0,4.999999873689376e-06,0.006976407486945391,,99
,,,5e-06,149
0,4.999999873689376e-06,0.007658123504370451,,149
,,,5e-06,199
0,4.999999873689376e-06,0.006182448472827673,,199
,,,5e-06,249
0,4.999999873689376e-06,0.006426923908293247,,249
,,,5e-06,299
0,4.999999873689376e-06,0.005477071274071932,,299
,,,5e-06,349
0,4.999999873689376e-06,0.006137912627309561,,349
