epoch,learning_rate,learning_rate_step,loss_step,step
,4.0081645780360866e-07,,,49
0,,4.0081644669953675e-07,2.812119248574163e-07,49
,4.0333107368416733e-07,,,99
0,,4.033310858631012e-07,2.9485531172213086e-07,99
,4.0753884345620336e-07,,,149
0,,4.075388346791442e-07,3.154884495870647e-07,149
,4.1343082438136064e-07,,,199
0,,4.1343082557432353e-07,2.953238436020911e-07,199
,4.209944942812264e-07,,,249
0,,4.2099449615307094e-07,3.4621507438714616e-07,249
,4.3021377815061085e-07,,,299
0,,4.3021378814955824e-07,2.956587934477284e-07,299
,4.410690823216245e-07,,,349
0,,4.4106909058427846e-07,3.410756619359745e-07,349
,4.535373361059385e-07,,,399
0,,4.535373250291741e-07,2.8011805852656835e-07,399
,4.67592040826728e-07,,,449
0,,4.6759203087276546e-07,2.891692361117748e-07,449
,4.832033261360912e-07,,,499
0,,4.832033368984412e-07,2.798549587623711e-07,499
,5.003380134982532e-07,,,549
0,,5.003379897061677e-07,2.530190670313459e-07,549
,5.189596867036342e-07,,,599
0,,5.18959666351293e-07,2.938736258784047e-07,599
,5.390287692639193e-07,,,649
0,,5.39028746970871e-07,3.1897914709588804e-07,649
,5.60502608523641e-07,,,699
0,,5.605025990007562e-07,3.0072405365899613e-07,699
,5.833355663095173e-07,,,749
0,,5.833355771756032e-07,2.36935136399552e-07,749
,6.074791159248846e-07,,,799
0,,6.074791372157051e-07,2.3979819729902374e-07,799
,6.328819452830839e-07,,,849
0,,6.328819495138305e-07,2.877846725368727e-07,849
,6.594900659606163e-07,,,899
0,,6.594900696654804e-07,2.508915315502236e-07,899
,6.872469279382934e-07,,,949
0,,6.872469384688884e-07,2.6040757461487374e-07,949
,7.16093539786526e-07,,,999
0,,7.16093552455277e-07,2.841664468178351e-07,999
,7.459685940393222e-07,,,1049
0,,7.459685775756952e-07,2.791547046854248e-07,1049
,7.768085974905389e-07,,,1099
0,,7.768085765746946e-07,2.666694172148709e-07,1099
,8.085480061354694e-07,,,1149
0,,8.085480089903285e-07,2.8799789220101957e-07,1149
,8.411193644709736e-07,,,1199
0,,8.411193448409904e-07,3.1697476288172766e-07,1199
,8.744534488581036e-07,,,1249
0,,8.744534625293454e-07,2.60989622802299e-07,1249
,9.084794146425314e-07,,,1299
0,,9.084794214686553e-07,2.9612166940751194e-07,1299
,9.431249467201067e-07,,,1349
0,,9.431249736735481e-07,2.6445499656801985e-07,1349
,9.783164132275534e-07,,,1399
0,,9.783163932297612e-07,3.334624523176899e-07,1399
,1.013979022031658e-06,,,1449
0,,1.0139790447283303e-06,3.067531224587583e-07,1449
,1.050036979684374e-06,,,1499
0,,1.0500369853616576e-06,3.11212772885483e-07,1499
,1.0864136525060112e-06,,,1549
0,,1.0864137038879562e-06,3.047788936783036e-07,1549
,1.1230317294541624e-06,,,1599
0,,1.1230317795707379e-06,2.764841724456346e-07,1599
,1.1598133864322235e-06,,,1649
0,,1.1598133369261632e-06,2.889103996039921e-07,1649
,1.1966804516883035e-06,,,1699
0,,1.1966805004703929e-06,3.3984281344601186e-07,1699
,1.2335545719530023e-06,,,1749
0,,1.2335545989117236e-06,2.655536377460521e-07,1749
,1.2703573789629696e-06,,,1799
0,,1.2703574157058029e-06,2.8938791274413234e-07,1799
,1.3070106560163264e-06,,,1849
0,,1.3070106206214405e-06,3.136773898404499e-07,1849
,1.3434365042059747e-06,,,1899
0,,1.3434364518616349e-06,3.3430785606469726e-07,1899
,1.3795575079775044e-06,,,1949
0,,1.3795574886898976e-06,2.995227248447918e-07,1949
,1.4152968996598286e-06,,,1999
0,,1.4152968788039288e-06,3.252793021601974e-07,1999
,1.4505787226188849e-06,,,2049
0,,1.4505786793961306e-06,3.5097693285024434e-07,2049
,1.4853279926876384e-06,,,2099
0,,1.4853279708404443e-06,3.2797896665215376e-07,2099
,1.5194708575293165e-06,,,2149
0,,1.519470856692351e-06,3.0631409231318685e-07,2149
,1.5529347535951683e-06,,,2199
0,,1.552934804749384e-06,3.015631762082194e-07,2199
,1.5856485603431772e-06,,,2249
0,,1.5856485333642922e-06,2.942004186934355e-07,2249
,1.61754275138996e-06,,,2299
0,,1.617542807252903e-06,2.6146156528739084e-07,2299
,1.6485495422746156e-06,,,2349
0,,1.6485495279994211e-06,3.222648388145899e-07,2349
,1.678603034520482e-06,,,2399
0,,1.6786029846116435e-06,2.5826270189099887e-07,2399
,1.7076393556886226e-06,,,2449
0,,1.7076393987736083e-06,3.1396234589919914e-07,2449
,1.7355967951253946e-06,,,2499
0,,1.7355968111587572e-06,3.203172695975809e-07,2499
,1.7624159351155914e-06,,,2549
0,,1.7624159909246373e-06,3.0306716780614806e-07,2549
,1.7880397771624205e-06,,,2599
0,,1.7880397535918746e-06,3.172171147980407e-07,2599
,1.8124138631259415e-06,,,2649
0,,1.812413870538876e-06,3.0321240274133743e-07,2649
,1.8354863909624984e-06,,,2699
0,,1.8354863868808025e-06,3.348486927734484e-07,2699
,1.857208324819176e-06,,,2749
0,,1.8572083035905962e-06,2.703971233586344e-07,2749
,1.877533499249294e-06,,,2799
0,,1.8775334638121421e-06,2.8688032216450665e-07,2799
,1.8964187173274487e-06,,,2849
0,,1.8964186665471061e-06,2.8175665534035943e-07,2849
,1.9138238424555827e-06,,,2899
0,,1.9138237803417724e-06,2.89039093104293e-07,2899
,1.9297118836649653e-06,,,2949
0,,1.929711970660719e-06,2.431999917007488e-07,2949
,1.944049074232792e-06,,,2999
0,,1.944049017765792e-06,3.535006669608265e-07,2999
,1.9568049434463223e-06,,,3049
0,,1.956804908331833e-06,2.499594700111629e-07,3049
,1.967952381362035e-06,,,3099
0,,1.967952357517788e-06,3.141752529245423e-07,3099
,1.9774676964221657e-06,,,3149
0,,1.977467718461412e-06,3.1357356533590064e-07,3149
,1.9853306658061785e-06,,,3199
0,,1.98533075490559e-06,3.0523793270731403e-07,3199
,1.991524578410162e-06,,,3249
0,,1.991524641198339e-06,3.645121466888668e-07,3249
,1.9960362703627987e-06,,,3299
0,,1.9960361896664836e-06,3.013173284216464e-07,3299
,1.9988561530024315e-06,,,3349
0,,1.9988560779893305e-06,2.829633842793555e-07,3349
,1.999978233255769e-06,,,3399
0,,1.999978167077643e-06,3.123318208508863e-07,3399
,1.9999999242933623e-06,,,3449
0,,1.9999999949504854e-06,2.9651914701389614e-07,3449
,1.999999636745493e-06,,,3499
0,,1.9999995402031345e-06,3.099414414009516e-07,3499
,1.999999134609729e-06,,,3549
0,,1.9999990854557836e-06,2.655287403285911e-07,3549
,1.999998417886178e-06,,,3599
0,,1.9999984033347573e-06,2.8599413326446665e-07,3599
,1.9999974865749964e-06,,,3649
0,,1.9999974938400555e-06,2.671675645160576e-07,3649
,1.9999963406763852e-06,,,3699
0,,1.9999963569716783e-06,3.666740724383999e-07,3699
,1.9999949801905938e-06,,,3749
0,,1.9999949927296257e-06,2.796121236769977e-07,3749
,1.999993405117916e-06,,,3799
0,,1.9999934011138976e-06,3.3972688129324524e-07,3799
,1.9999916154586934e-06,,,3849
0,,1.999991582124494e-06,2.884581249418261e-07,3849
,1.9999896112133147e-06,,,3899
0,,1.999989535761415e-06,2.418365738776629e-07,3899
,1.999987392382214e-06,,,3949
0,,1.999987489398336e-06,3.037581279841106e-07,3949
,1.999984958965872e-06,,,3999
0,,1.999984988287906e-06,2.9055934192001587e-07,3999
,1.9999823109648157e-06,,,4049
0,,1.999982259803801e-06,3.0935080985727836e-07,4049
,1.99997944837962e-06,,,4099
0,,1.9999795313196955e-06,2.9722482963734365e-07,4099
,1.999976371210905e-06,,,4149
0,,1.9999763480882393e-06,3.41754599730848e-07,4149
