epoch,learning_rate_step,loss_step,lr-AdamW,step
,,,5e-06,49
0,4.999999873689376e-06,6.801847484894097e-05,,49
,,,5e-06,99
0,4.999999873689376e-06,3.1129726266954094e-05,,99
,,,5e-06,149
0,4.999999873689376e-06,2.1539992303587496e-05,,149
,,,5e-06,199
0,4.999999873689376e-06,1.5173117390077095e-05,,199
,,,5e-06,249
0,4.999999873689376e-06,1.3434058018901851e-05,,249
,,,5e-06,299
0,4.999999873689376e-06,1.1643529433058575e-05,,299
,,,5e-06,349
0,4.999999873689376e-06,1.1912894478882663e-05,,349
,,,5e-06,399
0,4.999999873689376e-06,1.1520904081407934e-05,,399
