epoch,learning_rate_step,loss_step,lr-AdamW,step
,,,5e-06,49
0,4.999999873689376e-06,0.008063774555921555,,49
,,,5e-06,99
0,4.999999873689376e-06,0.007193536497652531,,99
,,,5e-06,149
0,4.999999873689376e-06,0.006938776932656765,,149
,,,5e-06,199
0,4.999999873689376e-06,0.006999074947088957,,199
,,,5e-06,249
0,4.999999873689376e-06,0.006137921009212732,,249
,,,5e-06,299
0,4.999999873689376e-06,0.0062416051514446735,,299
,,,5e-06,349
0,4.999999873689376e-06,0.0061970241367816925,,349
,,,5e-06,399
0,4.999999873689376e-06,0.005510774441063404,,399
,,,5e-06,449
0,4.999999873689376e-06,0.005582470912486315,,449
,,,5e-06,499
0,4.999999873689376e-06,0.0054804482497274876,,499
