epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,,,5e-06,49,
0,,4.999999873689376e-06,,9.800894076761324e-06,,49,
,,,,,5e-06,99,
0,,4.999999873689376e-06,,7.815099706931505e-06,,99,
,,,,,5e-06,149,
0,,4.999999873689376e-06,,9.437620974495076e-06,,149,
,,,,,5e-06,199,
0,,4.999999873689376e-06,,8.700911166670267e-06,,199,
,,,,,5e-06,249,
0,,4.999999873689376e-06,,8.262566552730277e-06,,249,
,,,,,5e-06,299,
0,,4.999999873689376e-06,,7.943289347167592e-06,,299,
,,,,,5e-06,349,
0,,4.999999873689376e-06,,8.714659088582266e-06,,349,
,,,,,5e-06,399,
0,,4.999999873689376e-06,,8.13185306469677e-06,,399,
,,,,,5e-06,449,
0,,4.999999873689376e-06,,8.473360139760189e-06,,449,
,,,,,5e-06,499,
0,,4.999999873689376e-06,,1.0498415576876141e-05,,499,
,,,,,5e-06,549,
0,,4.999999873689376e-06,,7.5111474870936945e-06,,549,
,,,,,5e-06,599,
0,,4.999999873689376e-06,,8.968014299171045e-06,,599,
,,,,,5e-06,649,
0,,4.999999873689376e-06,,8.476590664940886e-06,,649,
,,,,,5e-06,699,
0,,4.999999873689376e-06,,8.227947546401992e-06,,699,
,,,,,5e-06,749,
0,,4.999999873689376e-06,,8.004483788681682e-06,,749,
,,,,,5e-06,799,
0,,4.999999873689376e-06,,7.299373010027921e-06,,799,
,,,,,5e-06,849,
0,,4.999999873689376e-06,,8.71038264449453e-06,,849,
,,,,,5e-06,899,
0,,4.999999873689376e-06,,7.784410627209581e-06,,899,
,,,,,5e-06,949,
0,,4.999999873689376e-06,,8.941830856201705e-06,,949,
,,,,,5e-06,999,
0,,4.999999873689376e-06,,7.566995009256061e-06,,999,
,,,,,5e-06,1049,
0,,4.999999873689376e-06,,1.0171446774620563e-05,,1049,
,,,,,5e-06,1099,
0,,4.999999873689376e-06,,7.624631052749464e-06,,1099,
,,,,,5e-06,1149,
0,,4.999999873689376e-06,,8.982392500911374e-06,,1149,
,,,,,5e-06,1199,
0,,4.999999873689376e-06,,9.197946383210365e-06,,1199,
,,,,,5e-06,1249,
0,,4.999999873689376e-06,,1.0607643162074964e-05,,1249,
,,,,,5e-06,1299,
0,,4.999999873689376e-06,,9.439923815079965e-06,,1299,
,,,,,5e-06,1349,
0,,4.999999873689376e-06,,1.1427895515225828e-05,,1349,
,,,,,5e-06,1399,
0,,4.999999873689376e-06,,8.729401088203304e-06,,1399,
,,,,,5e-06,1449,
0,,4.999999873689376e-06,,9.120050890487619e-06,,1449,
,,,,,5e-06,1499,
0,,4.999999873689376e-06,,1.0861535884032492e-05,,1499,
,,,,,5e-06,1549,
0,,4.999999873689376e-06,,9.229375791619532e-06,,1549,
,,,,,5e-06,1599,
0,,4.999999873689376e-06,,9.20771617529681e-06,,1599,
,,,,,5e-06,1649,
0,,4.999999873689376e-06,,7.341808668570593e-06,,1649,
,,,,,5e-06,1699,
0,,4.999999873689376e-06,,6.781485353712924e-06,,1699,
,,,,,5e-06,1749,
0,,4.999999873689376e-06,,1.0106911759066861e-05,,1749,
,,,,,5e-06,1799,
0,,4.999999873689376e-06,,8.553271072742064e-06,,1799,
,,,,,5e-06,1849,
0,,4.999999873689376e-06,,9.16376848181244e-06,,1849,
,,,,,5e-06,1899,
0,,4.999999873689376e-06,,8.445295861747582e-06,,1899,
,,,,,5e-06,1949,
0,,4.999999873689376e-06,,9.648976629250683e-06,,1949,
,,,,,5e-06,1999,
0,,4.999999873689376e-06,,9.11158713279292e-06,,1999,
,,,,,5e-06,2049,
0,,4.999999873689376e-06,,8.829646503727417e-06,,2049,
,,,,,5e-06,2099,
0,,4.999999873689376e-06,,8.455861461698078e-06,,2099,
,,,,,5e-06,2149,
0,,4.999999873689376e-06,,8.806117875792552e-06,,2149,
,,,,,5e-06,2199,
0,,4.999999873689376e-06,,7.295472641999368e-06,,2199,
,,,,,5e-06,2249,
0,,4.999999873689376e-06,,1.0405027751403395e-05,,2249,
,,,,,5e-06,2299,
0,,4.999999873689376e-06,,9.116454748436809e-06,,2299,
,,,,,5e-06,2349,
0,,4.999999873689376e-06,,8.445019375358243e-06,,2349,
,,,,,5e-06,2399,
0,,4.999999873689376e-06,,7.550346253992757e-06,,2399,
,,,,,5e-06,2449,
0,,4.999999873689376e-06,,9.138280802289955e-06,,2449,
,,,,,5e-06,2499,
0,,4.999999873689376e-06,,9.767313713382464e-06,,2499,
,,,,,5e-06,2549,
0,,4.999999873689376e-06,,8.804132448858581e-06,,2549,
0,,,,,,2559,0.021491462364792824
0,5.000055352866184e-06,,9.010742360260338e-06,,,2559,
,,,,,9.96788219927423e-06,2599,
1,,9.967881851480342e-06,,3.307449878775515e-05,,2599,
,,,,,9.96788219927423e-06,2649,
1,,9.967881851480342e-06,,1.831913868954871e-05,,2649,
,,,,,9.96788219927423e-06,2699,
1,,9.967881851480342e-06,,1.1592913324420806e-05,,2699,
,,,,,9.96788219927423e-06,2749,
1,,9.967881851480342e-06,,9.977543413697276e-06,,2749,
,,,,,9.96788219927423e-06,2799,
1,,9.967881851480342e-06,,8.268618330475874e-06,,2799,
,,,,,9.96788219927423e-06,2849,
1,,9.967881851480342e-06,,9.855210919340607e-06,,2849,
,,,,,9.96788219927423e-06,2899,
1,,9.967881851480342e-06,,9.866450454865117e-06,,2899,
,,,,,9.96788219927423e-06,2949,
1,,9.967881851480342e-06,,9.797471648198552e-06,,2949,
,,,,,9.96788219927423e-06,2999,
1,,9.967881851480342e-06,,7.988979632500559e-06,,2999,
,,,,,9.96788219927423e-06,3049,
1,,9.967881851480342e-06,,9.391788807988632e-06,,3049,
,,,,,9.96788219927423e-06,3099,
1,,9.967881851480342e-06,,1.147721559391357e-05,,3099,
,,,,,9.96788219927423e-06,3149,
1,,9.967881851480342e-06,,1.3184522686060518e-05,,3149,
,,,,,9.96788219927423e-06,3199,
1,,9.967881851480342e-06,,8.008579243323766e-06,,3199,
,,,,,9.96788219927423e-06,3249,
1,,9.967881851480342e-06,,8.025970601011068e-06,,3249,
,,,,,9.96788219927423e-06,3299,
1,,9.967881851480342e-06,,1.017019349092152e-05,,3299,
,,,,,9.96788219927423e-06,3349,
1,,9.967881851480342e-06,,7.333843313972466e-06,,3349,
,,,,,9.96788219927423e-06,3399,
1,,9.967881851480342e-06,,9.142124326899648e-06,,3399,
,,,,,9.96788219927423e-06,3449,
1,,9.967881851480342e-06,,9.895044968288857e-06,,3449,
,,,,,9.96788219927423e-06,3499,
