epoch,learning_rate,learning_rate_step,loss_step,step
,4.9999321418083115e-06,,,49
0,,4.999932116334094e-06,0.8604565858840942,49
,4.999455455659793e-06,,,99
0,,4.999455541110365e-06,0.8694702386856079,99
,4.99852296450804e-06,,,149
0,,4.998522854293697e-06,0.8428413271903992,149
,4.9971348473558325e-06,,,199
0,,4.997134965378791e-06,0.783778190612793,199
,4.995291370668791e-06,,,249
0,,4.995291419618297e-06,0.7342872023582458,249
,4.99299288832422e-06,,,299
0,,4.992992671759566e-06,0.6267437934875488,299
