epoch,learning_rate,learning_rate_step,loss_step,step
0,,4.338991857366636e-06,3.450346355293732e-07,2499
,4.406039837788978e-06,,,2549
0,,4.406039806781337e-06,2.8151561082268017e-07,2549
,4.470099442906052e-06,,,2599
0,,4.470099611353362e-06,2.747189569163311e-07,2599
,4.531034657814854e-06,,,2649
0,,4.531034846877446e-06,3.530095114001597e-07,2649
,4.588715977406246e-06,,,2699
0,,4.588715910358587e-06,3.387356741768599e-07,2699
,4.64302081204794e-06,,,2749
0,,4.643020929506747e-06,3.267617216806684e-07,2749
,4.6938337481232355e-06,,,2799
0,,4.69383394374745e-06,3.92669136317636e-07,2799
,4.741046793318622e-06,,,2849
0,,4.741046723211184e-06,2.839181547642511e-07,2849
,4.7845596061389576e-06,,,2899
0,,4.784559678228106e-06,3.2040219366535894e-07,2899
,4.824279709162414e-06,,,2949
0,,4.8242795855912846e-06,3.658986429400102e-07,2949
,4.8601226855819805e-06,,,2999
0,,4.860122771788156e-06,3.173222467012238e-07,2999
,4.8920123586158066e-06,,,3049
0,,4.89201238451642e-06,2.697026388887025e-07,3049
,4.919880953405088e-06,,,3099
0,,4.919881121168146e-06,2.862780945633858e-07,3099
,4.943669241055415e-06,,,3149
0,,4.943669409840368e-06,4.4669712906397763e-07,3149
,4.963326664515447e-06,,,3199
0,,4.963326773577137e-06,3.0359109359778813e-07,3199
,4.978811446025407e-06,,,3249
0,,4.978811375622172e-06,3.210801651221118e-07,3249
,4.990090675906997e-06,,,3299
0,,4.990090474166209e-06,2.939349599273555e-07,3299
,4.9971403825060795e-06,,,3349
0,,4.997140422347002e-06,3.3232046803277626e-07,3349
,4.9999455831394225e-06,,,3399
0,,4.99994575875462e-06,3.0705510312145634e-07,3399
,4.999999810733406e-06,,,3449
0,,4.999999873689376e-06,2.563405132605112e-07,3449
,4.999999091863734e-06,,,3499
0,,4.999998964194674e-06,3.0048988719499903e-07,3499
,4.9999978365243225e-06,,,3549
0,,4.999998054699972e-06,3.2126791893460904e-07,3549
,4.999996044715446e-06,,,3599
0,,4.999996235710569e-06,3.0263461781032674e-07,3599
,4.999993716437492e-06,,,3649
0,,4.999993507226463e-06,3.212304022781609e-07,3649
,4.999990851690964e-06,,,3699
0,,4.999990778742358e-06,3.72952882798927e-07,3699
,4.999987450476484e-06,,,3749
0,,4.999987595510902e-06,2.835084558228118e-07,3749
,4.99998351279479e-06,,,3799
0,,4.999983502784744e-06,2.845896460712538e-07,3799
,4.999979038646734e-06,,,3849
0,,4.999978955311235e-06,2.9704702342314704e-07,3849
,4.999974028033287e-06,,,3899
0,,4.999973953090375e-06,3.2916622672019e-07,3899
