epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,,,3e-06,49,
0,,3.000000106112566e-06,,7.764915608277079e-06,,49,
,,,,,3e-06,99,
0,,3.000000106112566e-06,,7.529545200668508e-06,,99,
,,,,,3e-06,149,
0,,3.000000106112566e-06,,8.04133560450282e-06,,149,
,,,,,3e-06,199,
0,,3.000000106112566e-06,,6.459923042712035e-06,,199,
,,,,,3e-06,249,
0,,3.000000106112566e-06,,8.102342690108344e-06,,249,
,,,,,3e-06,299,
0,,3.000000106112566e-06,,7.463322617695667e-06,,299,
,,,,,3e-06,349,
0,,3.000000106112566e-06,,7.693352927162778e-06,,349,
,,,,,3e-06,399,
0,,3.000000106112566e-06,,6.966365617699921e-06,,399,
,,,,,3e-06,449,
0,,3.000000106112566e-06,,6.440501238103025e-06,,449,
,,,,,3e-06,499,
0,,3.000000106112566e-06,,7.814039236109238e-06,,499,
,,,,,3e-06,549,
0,,3.000000106112566e-06,,8.620502740086522e-06,,549,
,,,,,3e-06,599,
0,,3.000000106112566e-06,,9.425264579476789e-06,,599,
,,,,,3e-06,649,
0,,3.000000106112566e-06,,9.08370657271007e-06,,649,
,,,,,3e-06,699,
0,,3.000000106112566e-06,,7.259151061589364e-06,,699,
,,,,,3e-06,749,
0,,3.000000106112566e-06,,6.707397915306501e-06,,749,
,,,,,3e-06,799,
0,,3.000000106112566e-06,,7.055287824186962e-06,,799,
,,,,,3e-06,849,
0,,3.000000106112566e-06,,7.333241683227243e-06,,849,
,,,,,3e-06,899,
0,,3.000000106112566e-06,,8.775058631727006e-06,,899,
,,,,,3e-06,949,
0,,3.000000106112566e-06,,8.091013114608359e-06,,949,
,,,,,3e-06,999,
0,,3.000000106112566e-06,,7.544666004832834e-06,,999,
,,,,,3e-06,1049,
0,,3.000000106112566e-06,,7.575093150080647e-06,,1049,
,,,,,3e-06,1099,
0,,3.000000106112566e-06,,8.180103577615228e-06,,1099,
,,,,,3e-06,1149,
0,,3.000000106112566e-06,,8.962644642451778e-06,,1149,
,,,,,3e-06,1199,
0,,3.000000106112566e-06,,7.353620276262518e-06,,1199,
,,,,,3e-06,1249,
0,,3.000000106112566e-06,,8.105324013740756e-06,,1249,
,,,,,3e-06,1299,
0,,3.000000106112566e-06,,7.150583769544028e-06,,1299,
,,,,,3e-06,1349,
0,,3.000000106112566e-06,,9.855089956545271e-06,,1349,
,,,,,3e-06,1399,
0,,3.000000106112566e-06,,9.161217349173967e-06,,1399,
,,,,,3e-06,1449,
0,,3.000000106112566e-06,,8.403339961660095e-06,,1449,
,,,,,3e-06,1499,
0,,3.000000106112566e-06,,7.441664820362348e-06,,1499,
,,,,,3e-06,1549,
