epoch,learning_rate_step,loss_step,lr-AdamW,step
,,,5e-06,49
0,4.999999873689376e-06,4.5330412831390277e-05,,49
,,,5e-06,99
0,4.999999873689376e-06,3.871584340231493e-05,,99
,,,5e-06,149
0,4.999999873689376e-06,2.8633859983528964e-05,,149
,,,5e-06,199
0,4.999999873689376e-06,3.22494342981372e-05,,199
,,,5e-06,249
0,4.999999873689376e-06,2.618347389216069e-05,,249
,,,5e-06,299
0,4.999999873689376e-06,2.846159623004496e-05,,299
,,,5e-06,349
0,4.999999873689376e-06,2.4205797672038898e-05,,349
,,,5e-06,399
0,4.999999873689376e-06,1.844930011429824e-05,,399
,,,5e-06,449
0,4.999999873689376e-06,2.2036201698938385e-05,,449
,,,5e-06,499
0,4.999999873689376e-06,2.146742190234363e-05,,499
,,,5e-06,549
0,4.999999873689376e-06,2.663055420271121e-05,,549
,,,5e-06,599
0,4.999999873689376e-06,2.0955085346940905e-05,,599
,,,5e-06,649
0,4.999999873689376e-06,1.781164792191703e-05,,649
,,,5e-06,699
0,4.999999873689376e-06,2.395534102106467e-05,,699
,,,5e-06,749
0,4.999999873689376e-06,2.6860787329496816e-05,,749
,,,5e-06,799
0,4.999999873689376e-06,2.2686579541186802e-05,,799
,,,5e-06,849
0,4.999999873689376e-06,1.8783146515488625e-05,,849
,,,5e-06,899
0,4.999999873689376e-06,1.8889893908635713e-05,,899
,,,5e-06,949
0,4.999999873689376e-06,2.054681499430444e-05,,949
,,,5e-06,999
0,4.999999873689376e-06,2.133155066985637e-05,,999
,,,5e-06,1049
0,4.999999873689376e-06,2.014913479797542e-05,,1049
,,,5e-06,1099
0,4.999999873689376e-06,1.9396211428102106e-05,,1099
,,,5e-06,1149
0,4.999999873689376e-06,1.8724587789620273e-05,,1149
,,,5e-06,1199
0,4.999999873689376e-06,2.541363937780261e-05,,1199
,,,5e-06,1249
0,4.999999873689376e-06,2.219525231339503e-05,,1249
,,,5e-06,1299
0,4.999999873689376e-06,2.3747499653836712e-05,,1299
,,,5e-06,1349
0,4.999999873689376e-06,1.9280967535451055e-05,,1349
,,,5e-06,1399
0,4.999999873689376e-06,2.187691097788047e-05,,1399
,,,5e-06,1449
0,4.999999873689376e-06,1.9229364625061862e-05,,1449
,,,5e-06,1499
0,4.999999873689376e-06,1.7959104297915474e-05,,1499
,,,5e-06,1549
0,4.999999873689376e-06,1.5974919733707793e-05,,1549
,,,5e-06,1599
0,4.999999873689376e-06,2.0265431885491125e-05,,1599
,,,5e-06,1649
0,4.999999873689376e-06,1.8131233446183614e-05,,1649
,,,5e-06,1699
0,4.999999873689376e-06,1.6935726307565346e-05,,1699
,,,5e-06,1749
0,4.999999873689376e-06,2.2852271285955794e-05,,1749
,,,5e-06,1799
0,4.999999873689376e-06,2.305152520420961e-05,,1799
