epoch,learning_rate_step,loss_step,lr-SGD,step
,,,2.9113481525552853e-06,49
0,2.911348246925627e-06,0.024563519284129143,,49
,,,2.9113481525552853e-06,99
0,2.911348246925627e-06,0.024070588871836662,,99
,,,2.9113481525552853e-06,149
0,2.911348246925627e-06,0.02301381342113018,,149
,,,2.9113481525552853e-06,199
0,2.911348246925627e-06,0.023991089314222336,,199
,,,2.9113481525552853e-06,249
0,2.911348246925627e-06,0.024736063554883003,,249
,,,2.9113481525552853e-06,299
0,2.911348246925627e-06,0.025431489571928978,,299
,,,2.9113481525552853e-06,349
0,2.911348246925627e-06,0.024482859298586845,,349
,,,2.9113481525552853e-06,399
0,2.911348246925627e-06,0.025144129991531372,,399
,,,2.9113481525552853e-06,449
0,2.911348246925627e-06,0.024699917063117027,,449
,,,2.9113481525552853e-06,499
0,2.911348246925627e-06,0.026103569194674492,,499
,,,2.9113481525552853e-06,549
0,2.911348246925627e-06,0.02228635922074318,,549
,,,2.9113481525552853e-06,599
0,2.911348246925627e-06,0.02376406081020832,,599
,,,2.9113481525552853e-06,649
0,2.911348246925627e-06,0.024753306061029434,,649
,,,2.9113481525552853e-06,699
0,2.911348246925627e-06,0.0230109766125679,,699
,,,2.9113481525552853e-06,749
0,2.911348246925627e-06,0.023572972044348717,,749
,,,2.9113481525552853e-06,799
0,2.911348246925627e-06,0.02500303089618683,,799
,,,2.9113481525552853e-06,849
0,2.911348246925627e-06,0.025179950520396233,,849
,,,2.9113481525552853e-06,899
0,2.911348246925627e-06,0.02508975937962532,,899
,,,2.9113481525552853e-06,949
0,2.911348246925627e-06,0.026343194767832756,,949
,,,2.9113481525552853e-06,999
0,2.911348246925627e-06,0.02483258582651615,,999
,,,2.9113481525552853e-06,1049
0,2.911348246925627e-06,0.026173103600740433,,1049
,,,2.9113481525552853e-06,1099
0,2.911348246925627e-06,0.024985691532492638,,1099
,,,2.9113481525552853e-06,1149
0,2.911348246925627e-06,0.022853264585137367,,1149
,,,2.9113481525552853e-06,1199
0,2.911348246925627e-06,0.022312646731734276,,1199
,,,2.9113481525552853e-06,1249
0,2.911348246925627e-06,0.023685792461037636,,1249
,,,2.9113481525552853e-06,1299
0,2.911348246925627e-06,0.02353242039680481,,1299
,,,2.9113481525552853e-06,1349
0,2.911348246925627e-06,0.025601981207728386,,1349
,,,2.9113481525552853e-06,1399
0,2.911348246925627e-06,0.024140967056155205,,1399
