epoch,learning_rate,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,step,val_loss
,2.8826594737110002e-05,,,,,441649,
20,,,2.8826594643760473e-05,,0.013185982592403889,441649,
,2.881681044957993e-05,,,,,441699,
20,,,2.88168102997588e-05,,0.012105460278689861,441699,
,2.880702749919394e-05,,,,,441749,
20,,,2.880702777474653e-05,,0.010115329176187515,441749,
,2.8797245886504397e-05,,,,,441799,
20,,,2.879724524973426e-05,,0.013526714406907558,441799,
,2.8787465612063574e-05,,,,,441849,
20,,,2.8787466362700798e-05,,0.01472522597759962,441849,
,2.8777686676423645e-05,,,,,441899,
20,,,2.8777687475667335e-05,,0.01341316755861044,441899,
,2.876790908013673e-05,,,,,441949,
20,,,2.8767908588633873e-05,,0.014271862804889679,441949,
,2.8758132823754868e-05,,,,,441999,
20,,,2.8758133339579217e-05,,0.015042856335639954,441999,
,2.8748357907830038e-05,,,,,442049,
20,,,2.8748358090524562e-05,,0.018656162545084953,442049,
,2.873858433291411e-05,,,,,442099,
20,,,2.873858466045931e-05,,0.013243826106190681,442099,
,2.872881209955889e-05,,,,,442149,
20,,,2.8728811230394058e-05,,0.01199333555996418,442149,
,2.871904120831614e-05,,,,,442199,
20,,,2.8719041438307613e-05,,0.015001383610069752,442199,
,2.8709271659737483e-05,,,,,442249,
20,,,2.870927164622117e-05,,0.01106618344783783,442249,
,2.8699503454374555e-05,,,,,442299,
20,,,2.8699503673124127e-05,,0.015343612991273403,442299,
,2.868973659277881e-05,,,,,442349,
20,,,2.8689735700027086e-05,,0.012013460509479046,442349,
,2.8679971075501732e-05,,,,,442399,
20,,,2.867997136490885e-05,,0.012488653883337975,442399,
,2.8670206903094658e-05,,,,,442449,
20,,,2.8670207029790618e-05,,0.013847251422703266,442449,
,2.866044407610885e-05,,,,,442499,
20,,,2.8660444513661787e-05,,0.011519571766257286,442499,
,2.8650682595095544e-05,,,,,442549,
20,,,2.8650681997532956e-05,,0.014167106710374355,442549,
,2.8640922460605836e-05,,,,,442599,
20,,,2.8640923119382933e-05,,0.014720327220857143,442599,
,2.8631163673190822e-05,,,,,442649,
20,,,2.863116424123291e-05,,0.013400167226791382,442649,
,2.862140623340144e-05,,,,,442699,
20,,,2.8621405363082886e-05,,0.012048947624862194,442699,
,2.861165014178861e-05,,,,,442749,
20,,,2.861165012291167e-05,,0.013355887494981289,442749,
,2.860189539890317e-05,,,,,442799,
20,,,2.8601894882740453e-05,,0.012261893600225449,442799,
,2.859214200529586e-05,,,,,442849,
20,,,2.859214146155864e-05,,0.013269356451928616,442849,
,2.8582389961517347e-05,,,,,442899,
20,,,2.858238985936623e-05,,0.015369153581559658,442899,
,2.8572639268118205e-05,,,,,442949,
20,,,2.8572640076163225e-05,,0.015197217464447021,442949,
,2.856288992564899e-05,,,,,442999,
20,,,2.856289029296022e-05,,0.013457533903419971,442999,
,2.855314193466014e-05,,,,,443049,
20,,,2.8553142328746617e-05,,0.014242112636566162,443049,
,2.8543395295702005e-05,,,,,443099,
20,,,2.8543396183522418e-05,,0.01333642192184925,443099,
,2.8533650009324912e-05,,,,,443149,
20,,,2.853365003829822e-05,,0.01707584224641323,443149,
,2.852390607607905e-05,,,,,443199,
20,,,2.8523905712063424e-05,,0.014875613152980804,443199,
,2.851416349651456e-05,,,,,443249,
20,,,2.8514163204818033e-05,,0.015524037182331085,443249,
,2.8504422271181492e-05,,,,,443299,
20,,,2.8504422516562045e-05,,0.016008377075195312,443299,
,2.8494682400629844e-05,,,,,443349,
20,,,2.8494681828306057e-05,,0.017959678545594215,443349,
,2.8484943885409547e-05,,,,,443399,
20,,,2.8484944778028876e-05,,0.012646657414734364,443399,
,2.8475206726070396e-05,,,,,443449,
20,,,2.847520590876229e-05,,0.01317801233381033,443449,
,2.846547092316218e-05,,,,,443499,
20,,,2.8465470677474514e-05,,0.012971097603440285,443499,
,2.8455736477234545e-05,,,,,443549,
20,,,2.845573726517614e-05,,0.013531184755265713,443549,
,2.8446003388837142e-05,,,,,443599,
20,,,2.8446003852877766e-05,,0.010224607773125172,443599,
,2.843627165851946e-05,,,,,443649,
20,,,2.8436272259568796e-05,,0.014273086562752724,443649,
,2.8426541286830945e-05,,,,,443699,
20,,,2.8426540666259825e-05,,0.012960070744156837,443699,
,2.8416812274321e-05,,,,,443749,
20,,,2.8416812710929662e-05,,0.013793595135211945,443749,
,2.8407084621538886e-05,,,,,443799,
20,,,2.84070847555995e-05,,0.011694207787513733,443799,
,2.839735832903386e-05,,,,,443849,
20,,,2.839735861925874e-05,,0.014267131686210632,443849,
,2.838763339735503e-05,,,,,443899,
20,,,2.8387634301907383e-05,,0.012010938487946987,443899,
,2.8377909827051497e-05,,,,,443949,
20,,,2.8377909984556027e-05,,0.013832448981702328,443949,
,2.8368187618672233e-05,,,,,443999,
20,,,2.8368187486194074e-05,,0.014998151920735836,443999,
,2.8358466772766125e-05,,,,,444049,
20,,,2.8358466806821525e-05,,0.013510388322174549,444049,
,2.8348747289882054e-05,,,,,444099,
20,,,2.834874794643838e-05,,0.01769077032804489,444099,
,2.8339029170568736e-05,,,,,444149,
20,,,2.8339029086055234e-05,,0.013612858019769192,444149,
,2.8329312415374897e-05,,,,,444199,
20,,,2.8329312044661492e-05,,0.014118360355496407,444199,
,2.831959702484909e-05,,,,,444249,
20,,,2.8319596822257154e-05,,0.014224263839423656,444249,
,2.830988299953988e-05,,,,,444299,
20,,,2.830988341884222e-05,,0.01005984004586935,444299,
,2.830017033999572e-05,,,,,444349,
20,,,2.8300170015427284e-05,,0.013111329637467861,444349,
,2.8290459046764968e-05,,,,,444399,
20,,,2.8290458431001753e-05,,0.01255839504301548,444399,
,2.8280749120395927e-05,,,,,444449,
20,,,2.8280748665565625e-05,,0.012246203608810902,444449,
,2.827104056143679e-05,,,,,444499,
20,,,2.82710407191189e-05,,0.016394121572375298,444499,
,2.826133337043572e-05,,,,,444549,
20,,,2.8261332772672176e-05,,0.015061795711517334,444549,
,2.8251627547940802e-05,,,,,444599,
20,,,2.8251626645214856e-05,,0.010354503057897091,444599,
,2.8241923094499984e-05,,,,,444649,
20,,,2.824192233674694e-05,,0.011887596920132637,444649,
,2.8232220010661213e-05,,,,,444699,
20,,,2.8232219847268425e-05,,0.013109125196933746,444699,
,2.8222518296972298e-05,,,,,444749,
20,,,2.8222519176779315e-05,,0.012892362661659718,444749,
,2.8212817953981e-05,,,,,444799,
20,,,2.8212818506290205e-05,,0.013639426790177822,444799,
,2.820311898223498e-05,,,,,444849,
20,,,2.82031196547905e-05,,0.01048180740326643,444849,
,2.8193421382281854e-05,,,,,444899,
20,,,2.8193420803290792e-05,,0.013070438988506794,444899,
,2.8183725154669162e-05,,,,,444949,
20,,,2.8183725589769892e-05,,0.013755613937973976,444949,
,2.817403029994431e-05,,,,,444999,
20,,,2.8174030376248993e-05,,0.017971105873584747,444999,
,2.8164336818654713e-05,,,,,445049,
20,,,2.8164336981717497e-05,,0.01782074384391308,445049,
,2.8154644711347614e-05,,,,,445099,
20,,,2.8154645406175405e-05,,0.014219912700355053,445099,
,2.8144953978570273e-05,,,,,445149,
20,,,2.8144953830633312e-05,,0.012373375706374645,445149,
,2.813526462086979e-05,,,,,445199,
20,,,2.8135264074080624e-05,,0.01375579833984375,445199,
,2.8125576638793223e-05,,,,,445249,
20,,,2.812557613651734e-05,,0.013388866558670998,445249,
,2.8115890032887578e-05,,,,,445299,
20,,,2.8115890017943457e-05,,0.014929652214050293,445299,
,2.810620480369972e-05,,,,,445349,
20,,,2.8106203899369575e-05,,0.013483312912285328,445349,
,2.809652095177652e-05,,,,,445399,
20,,,2.80965214187745e-05,,0.01597803831100464,445399,
,2.8086838477664675e-05,,,,,445449,
20,,,2.8086838938179426e-05,,0.013383472338318825,445449,
,2.8077157381910874e-05,,,,,445499,
20,,,2.8077158276573755e-05,,0.013257208280265331,445499,
,2.806747766506176e-05,,,,,445549,
20,,,2.8067477614968084e-05,,0.012435385026037693,445549,
,2.8057799327663754e-05,,,,,445599,
20,,,2.8057798772351816e-05,,0.0159903634339571,445599,
,2.8048122370263357e-05,,,,,445649,
20,,,2.8048121748724952e-05,,0.011912129819393158,445649,
,2.8038446793406886e-05,,,,,445699,
20,,,2.8038446544087492e-05,,0.011884846724569798,445699,
,2.802877259764066e-05,,,,,445749,
20,,,2.8028773158439435e-05,,0.018974510952830315,445749,
,2.8019099783510834e-05,,,,,445799,
20,,,2.8019099772791378e-05,,0.015236809849739075,445799,
,2.8009428351563566e-05,,,,,445849,
20,,,2.8009428206132725e-05,,0.013377181254327297,445849,
,2.7999758302344908e-05,,,,,445899,
20,,,2.7999758458463475e-05,,0.014454725198447704,445899,
,2.7990089636400815e-05,,,,,445949,
20,,,2.799009052978363e-05,,0.010719258338212967,445949,
,2.7980422354277172e-05,,,,,445999,
20,,,2.7980422601103783e-05,,0.016300415620207787,445999,
,2.797075645651977e-05,,,,,446049,
20,,,2.797075649141334e-05,,0.015558609738945961,446049,
,2.796109194367437e-05,,,,,446099,
20,,,2.79610922007123e-05,,0.0193617083132267,446099,
,2.795142881628664e-05,,,,,446149,
20,,,2.7951427910011262e-05,,0.012007469311356544,446149,
,2.7941767074902114e-05,,,,,446199,
20,,,2.794176725728903e-05,,0.011802474036812782,446199,
,2.7932106720066333e-05,,,,,446249,
20,,,2.7932106604566798e-05,,0.012190580368041992,446249,
,2.7922447752324683e-05,,,,,446299,
20,,,2.792244777083397e-05,,0.015959585085511208,446299,
,2.791279017222255e-05,,,,,446349,
20,,,2.7912790756090544e-05,,0.015814708545804024,446349,
,2.790313398030514e-05,,,,,446399,
20,,,2.790313374134712e-05,,0.01282734889537096,446399,
,2.7893479177117665e-05,,,,,446449,
20,,,2.7893478545593098e-05,,0.012135445140302181,446449,
,2.7883825763205245e-05,,,,,446499,
20,,,2.788382516882848e-05,,0.01320047676563263,446499,
,2.787417373911288e-05,,,,,446549,
20,,,2.7874173611053266e-05,,0.015163538046181202,446549,
,2.7864523105385556e-05,,,,,446599,
20,,,2.7864523872267455e-05,,0.016491008922457695,446599,
,2.78548738625681e-05,,,,,446649,
20,,,2.7854874133481644e-05,,0.015031583607196808,446649,
,2.784522601120535e-05,,,,,446699,
20,,,2.7845226213685237e-05,,0.011337395757436752,446699,
,2.7835579551842e-05,,,,,446749,
20,,,2.7835580112878233e-05,,0.018249288201332092,446749,
,2.7825934485022664e-05,,,,,446799,
20,,,2.782593401207123e-05,,0.014002017676830292,446799,
,2.7816290811291937e-05,,,,,446849,
20,,,2.7816291549243033e-05,,0.014340526424348354,446849,
,2.7806648531194267e-05,,,,,446899,
20,,,2.7806649086414836e-05,,0.014345592819154263,446899,
,2.7797007645274078e-05,,,,,446949,
20,,,2.7797008442576043e-05,,0.014903758652508259,446949,
,2.778736815407566e-05,,,,,446999,
20,,,2.778736779873725e-05,,0.014134219847619534,446999,
,2.7777730058143274e-05,,,,,447049,
20,,,2.7777730792877264e-05,,0.013641578145325184,447049,
,2.7768093358021095e-05,,,,,447099,
20,,,2.776809378701728e-05,,0.012239838019013405,447099,
,2.7758458054253203e-05,,,,,447149,
20,,,2.7758458600146696e-05,,0.01574028469622135,447149,
,2.7748824147383594e-05,,,,,447199,
20,,,2.7748823413276114e-05,,0.015859724953770638,447199,
,2.7739191637956182e-05,,,,,447249,
20,,,2.7739191864384338e-05,,0.012296127155423164,447249,
,2.7729560526514826e-05,,,,,447299,
20,,,2.7729560315492563e-05,,0.012107199989259243,447299,
,2.7719930813603316e-05,,,,,447349,
20,,,2.771993058559019e-05,,0.012101622298359871,447349,
,2.771030249976531e-05,,,,,447399,
20,,,2.7710302674677223e-05,,0.011288638226687908,447399,
,2.770067558554445e-05,,,,,447449,
20,,,2.7700674763764255e-05,,0.013890077359974384,447449,
,2.769105007148425e-05,,,,,447499,
20,,,2.7691050490830094e-05,,0.01677209511399269,447499,
,2.7681425958128166e-05,,,,,447549,
20,,,2.7681426217895932e-05,,0.012623550370335579,447549,
,2.7671803246019554e-05,,,,,447599,
20,,,2.7671803763951175e-05,,0.013360443525016308,447599,
,2.7662181935701724e-05,,,,,447649,
20,,,2.7662181310006417e-05,,0.01721351407468319,447649,
,2.7652562027717913e-05,,,,,447699,
20,,,2.7652562494040467e-05,,0.015553148463368416,447699,
,2.764294352261122e-05,,,,,447749,
20,,,2.7642943678074516e-05,,0.014257267117500305,447749,
,2.7633326420924735e-05,,,,,447799,
20,,,2.763332668109797e-05,,0.009706935845315456,447799,
,2.7623710723201404e-05,,,,,447849,
20,,,2.7623711503110826e-05,,0.012256776914000511,447849,
,2.7614096429984163e-05,,,,,447899,
20,,,2.7614096325123683e-05,,0.01721009984612465,447899,
,2.7604483541815805e-05,,,,,447949,
20,,,2.7604482966125943e-05,,0.015618838369846344,447949,
,2.7594872059239064e-05,,,,,447999,
20,,,2.7594871426117606e-05,,0.011376581154763699,447999,
,2.7585261982796626e-05,,,,,448049,
20,,,2.7585261705098674e-05,,0.012091577053070068,448049,
,2.7575653313031043e-05,,,,,448099,
20,,,2.7575653803069144e-05,,0.013915278017520905,448099,
,2.7566046050484853e-05,,,,,448149,
20,,,2.7566045901039615e-05,,0.013140066526830196,448149,
,2.7556440195700436e-05,,,,,448199,
20,,,2.755643981799949e-05,,0.012162573635578156,448199,
,2.754683574922018e-05,,,,,448249,
20,,,2.7546835553948767e-05,,0.012049778364598751,448249,
,2.753723271158632e-05,,,,,448299,
20,,,2.753723310888745e-05,,0.012967812828719616,448299,
,2.7527631083341037e-05,,,,,448349,
20,,,2.752763066382613e-05,,0.011859182268381119,448349,
,2.7518030865026453e-05,,,,,448399,
20,,,2.7518030037754215e-05,,0.015238306485116482,448399,
,2.750843205718457e-05,,,,,448449,
20,,,2.7508431230671704e-05,,0.012719537131488323,448449,
,2.7498834660357367e-05,,,,,448499,
20,,,2.7498834242578596e-05,,0.013834470883011818,448499,
,2.7489238675086673e-05,,,,,448549,
20,,,2.748923907347489e-05,,0.014570600353181362,448549,
,2.7479644101914287e-05,,,,,448599,
20,,,2.7479643904371187e-05,,0.013727950863540173,448599,
,2.7470050941381938e-05,,,,,448649,
20,,,2.7470050554256886e-05,,0.012598550878465176,448649,
,2.746045919403123e-05,,,,,448699,
20,,,2.746045902313199e-05,,0.013659014366567135,448699,
,2.7450868860403712e-05,,,,,448749,
20,,,2.7450869310996495e-05,,0.015118998475372791,448749,
,2.7441279941040835e-05,,,,,448799,
20,,,2.7441279598861e-05,,0.014616555534303188,448799,
,2.7431692436484004e-05,,,,,448849,
20,,,2.743169170571491e-05,,0.013872804120182991,448849,
,2.7422106347274536e-05,,,,,448899,
20,,,2.7422105631558225e-05,,0.01498797070235014,448899,
,2.7412521673953636e-05,,,,,448949,
20,,,2.741252137639094e-05,,0.016374437138438225,448949,
,2.7402938417062468e-05,,,,,448999,
20,,,2.7402938940213062e-05,,0.011743276380002499,448999,
,2.73933565771421e-05,,,,,449049,
20,,,2.7393356504035182e-05,,0.012595859356224537,449049,
,2.738377615473351e-05,,,,,449099,
20,,,2.7383775886846706e-05,,0.012211045250296593,449099,
,2.737419715037759e-05,,,,,449149,
20,,,2.7374197088647634e-05,,0.01208426896482706,449149,
,2.736461956461518e-05,,,,,449199,
20,,,2.7364620109437965e-05,,0.013640630058944225,449199,
,2.7355043397987045e-05,,,,,449249,
20,,,2.7355043130228296e-05,,0.015294522047042847,449249,
,2.7345468651033826e-05,,,,,449299,
20,,,2.734546797000803e-05,,0.010903943330049515,449299,
,2.7335895324296132e-05,,,,,449349,
20,,,2.733589462877717e-05,,0.011928644962608814,449349,
,2.732632341831444e-05,,,,,449399,
20,,,2.732632310653571e-05,,0.016495831310749054,449399,
,2.731675293362922e-05,,,,,449449,
20,,,2.7316753403283656e-05,,0.01257927156984806,449449,
,2.730718387078079e-05,,,,,449499,
20,,,2.73071837000316e-05,,0.011081752367317677,449499,
,2.7297616230309395e-05,,,,,449549,
20,,,2.729761581576895e-05,,0.016284264624118805,449549,
,2.7288050012755263e-05,,,,,449599,
20,,,2.7288049750495702e-05,,0.016056567430496216,449599,
,2.7278485218658467e-05,,,,,449649,
20,,,2.7278485504211858e-05,,0.01487644948065281,449649,
,2.726892184855906e-05,,,,,449699,
20,,,2.7268921257928014e-05,,0.013117422349750996,449699,
,2.725935990299695e-05,,,,,449749,
20,,,2.7259360649622977e-05,,0.014032748527824879,449749,
,2.724979938251204e-05,,,,,449799,
20,,,2.724980004131794e-05,,0.013403564691543579,449799,
,2.7240240287644098e-05,,,,,449849,
20,,,2.7240239433012903e-05,,0.011748920194804668,449849,
,2.7230682618932806e-05,,,,,449899,
20,,,2.7230682462686673e-05,,0.013538951054215431,449899,
,2.722112637691782e-05,,,,,449949,
20,,,2.7221125492360443e-05,,0.012650798074901104,449949,
,2.7211571562138653e-05,,,,,449999,
20,,,2.721157216001302e-05,,0.014323854818940163,449999,
,2.720201817513479e-05,,,,,450049,
20,,,2.7202018827665597e-05,,0.013774744234979153,450049,
,2.719246621644559e-05,,,,,450099,
20,,,2.7192465495318174e-05,,0.012500392273068428,450099,
,2.718291568661036e-05,,,,,450149,
20,,,2.718291580094956e-05,,0.01197083480656147,450149,
,2.7173366586168345e-05,,,,,450199,
20,,,2.7173366106580943e-05,,0.014580351300537586,450199,
,2.716381891565866e-05,,,,,450249,
20,,,2.716381823120173e-05,,0.012074676342308521,450249,
,2.7154272675620366e-05,,,,,450299,
20,,,2.7154272174811922e-05,,0.012739243917167187,450299,
,2.7144727866592427e-05,,,,,450349,
20,,,2.7144727937411517e-05,,0.017686938866972923,450349,
,2.7135184489113744e-05,,,,,450399,
20,,,2.7135183700011112e-05,,0.013732993975281715,450399,
,2.7125642543723163e-05,,,,,450449,
20,,,2.7125643100589514e-05,,0.012340261600911617,450449,
,2.7116102030959378e-05,,,,,450499,
20,,,2.7116102501167916e-05,,0.01465833093971014,450499,
,2.7106562951361076e-05,,,,,450549,
20,,,2.710656372073572e-05,,0.024385645985603333,450549,
,2.7097025305466817e-05,,,,,450599,
20,,,2.7097024940303527e-05,,0.011089938692748547,450599,
,2.7087489093815093e-05,,,,,450649,
20,,,2.708748979785014e-05,,0.011974813416600227,450649,
,2.707795431694429e-05,,,,,450699,
20,,,2.7077954655396752e-05,,0.013285900466144085,450699,
,2.7068420975392762e-05,,,,,450749,
20,,,2.7068421331932768e-05,,0.013315721414983273,450749,
,2.7058889069698776e-05,,,,,450799,
20,,,2.7058889827458188e-05,,0.01361066848039627,450799,
,2.704935860040046e-05,,,,,450849,
20,,,2.7049358322983608e-05,,0.010924385860562325,450849,
,2.7039829568035945e-05,,,,,450899,
20,,,2.7039830456487834e-05,,0.012814516201615334,450899,
,2.703030197314319e-05,,,,,450949,
20,,,2.703030258999206e-05,,0.014890397898852825,450949,
,2.7020775816260165e-05,,,,,450999,
20,,,2.702077654248569e-05,,0.013143464922904968,450999,
,2.7011251097924686e-05,,,,,451049,
20,,,2.7011250494979322e-05,,0.011885217390954494,451049,
,2.7001727818674504e-05,,,,,451099,
20,,,2.700172808545176e-05,,0.014641980640590191,451099,
,2.6992205979047334e-05,,,,,451149,
20,,,2.6992205675924197e-05,,0.012750416062772274,451149,
,2.6982685579580736e-05,,,,,451199,
20,,,2.6982685085386038e-05,,0.012648633681237698,451199,
