epoch,learning_rate,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,step,val_loss
,7.198874308884164e-05,,,,,242899,
11,,,7.198874664027244e-05,,0.0303952693939209,242899,
,7.197844967500049e-05,,,,,242949,
11,,,7.197845116024837e-05,,0.02964193932712078,242949,
,7.196815516141329e-05,,,,,242999,
11,,,7.19681556802243e-05,,0.035068683326244354,242999,
,7.195785954866125e-05,,,,,243049,
11,,,7.195786020020023e-05,,0.024638062343001366,243049,
,7.194756283732569e-05,,,,,243099,
11,,,7.194756472017616e-05,,0.03297063335776329,243099,
,7.193726502798793e-05,,,,,243149,
11,,,7.193726196419448e-05,,0.03975720331072807,243149,
,7.192696612122942e-05,,,,,243199,
11,,,7.192696648417041e-05,,0.043173495680093765,243199,
,7.191666611763159e-05,,,,,243249,
11,,,7.191666372818872e-05,,0.026480067521333694,243249,
,7.190636501777599e-05,,,,,243299,
11,,,7.190636824816465e-05,,0.028908951207995415,243299,
,7.189606282224422e-05,,,,,243349,
11,,,7.189606549218297e-05,,0.031520988792181015,243349,
,7.188575953161792e-05,,,,,243399,
11,,,7.188576273620129e-05,,0.031108563765883446,243399,
,7.187545514647884e-05,,,,,243449,
11,,,7.187545270426199e-05,,0.03371146693825722,243449,
,7.186514966740873e-05,,,,,243499,
11,,,7.18651499482803e-05,,0.03670625016093254,243499,
,7.185484309498947e-05,,,,,243549,
11,,,7.1854839916341e-05,,0.03341161087155342,243549,
,7.184453542980294e-05,,,,,243599,
11,,,7.184453716035932e-05,,0.043059092015028,243599,
,7.18342266724311e-05,,,,,243649,
11,,,7.183422712842003e-05,,0.03188459575176239,243649,
,7.182391682345599e-05,,,,,243699,
11,,,7.182391709648073e-05,,0.035926539450883865,243699,
,7.181360588345972e-05,,,,,243749,
11,,,7.181360706454143e-05,,0.027434546500444412,243749,
,7.180329385302441e-05,,,,,243799,
11,,,7.180329703260213e-05,,0.03250492364168167,243799,
,7.179298073273228e-05,,,,,243849,
11,,,7.179297972470522e-05,,0.030184561386704445,243849,
,7.178266652316562e-05,,,,,243899,
11,,,7.178266969276592e-05,,0.02587541937828064,243899,
,7.177235122490676e-05,,,,,243949,
11,,,7.177235238486901e-05,,0.027715537697076797,243949,
,7.176203483853808e-05,,,,,243999,
11,,,7.17620350769721e-05,,0.03665192052721977,243999,
,7.175171736464207e-05,,,,,244049,
11,,,7.175171776907519e-05,,0.034665849059820175,244049,
,7.174139880380124e-05,,,,,244099,
