epoch,learning_rate,learning_rate_step,loss_step,step
,5.676631623649104e-06,,,49
0,,5.6766316447465215e-06,1.4686774015426636,49
,7.912991932381355e-06,,,99
0,,7.912992259662133e-06,0.8839115500450134,99
,7.999990243769376e-06,,,149
0,,7.999989975360222e-06,0.5756056904792786,149
,7.999950193598226e-06,,,199
0,,7.999949957593344e-06,0.366134375333786,199
,7.999879193099675e-06,,,249
0,,7.999879017006606e-06,0.2694430947303772,249
,7.999777242852018e-06,,,299
0,,7.999777153600007e-06,0.17642460763454437,299
,7.999644343685632e-06,,,349
0,,7.999644367373548e-06,0.1384841799736023,349
