epoch,learning_rate_step,loss_step,lr-AdamW,step
,,,5e-06,49
0,4.999999873689376e-06,0.00031012020190246403,,49
,,,5e-06,99
0,4.999999873689376e-06,0.00016915907326620072,,99
,,,5e-06,149
0,4.999999873689376e-06,8.777586481301114e-05,,149
,,,5e-06,199
0,4.999999873689376e-06,8.391473238589242e-05,,199
,,,5e-06,249
0,4.999999873689376e-06,6.456348637584597e-05,,249
,,,5e-06,299
0,4.999999873689376e-06,4.9804199079517275e-05,,299
,,,5e-06,349
0,4.999999873689376e-06,5.103082730784081e-05,,349
,,,5e-06,399
0,4.999999873689376e-06,4.9557133024791256e-05,,399
,,,5e-06,449
0,4.999999873689376e-06,4.9958860472543165e-05,,449
,,,5e-06,499
0,4.999999873689376e-06,4.008179166703485e-05,,499
,,,5e-06,549
0,4.999999873689376e-06,3.6911464121658355e-05,,549
,,,5e-06,599
0,4.999999873689376e-06,3.379751433385536e-05,,599
