epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-AdamW,step,val_loss
,,,,,1e-06,49,
0,,9.999999974752427e-07,,9.033465175889432e-06,,49,
,,,,,1e-06,99,
0,,9.999999974752427e-07,,7.3355140557396226e-06,,99,
,,,,,1e-06,149,
0,,9.999999974752427e-07,,8.474859896523412e-06,,149,
,,,,,1e-06,199,
0,,9.999999974752427e-07,,6.344831945170881e-06,,199,
,,,,,1e-06,249,
0,,9.999999974752427e-07,,7.523954081989359e-06,,249,
,,,,,1e-06,299,
0,,9.999999974752427e-07,,6.9761849772476126e-06,,299,
,,,,,1e-06,349,
0,,9.999999974752427e-07,,7.531231403845595e-06,,349,
,,,,,1e-06,399,
0,,9.999999974752427e-07,,9.664979188528378e-06,,399,
,,,,,1e-06,449,
0,,9.999999974752427e-07,,8.42621739138849e-06,,449,
,,,,,1e-06,499,
0,,9.999999974752427e-07,,6.986548669374315e-06,,499,
,,,,,1e-06,549,
0,,9.999999974752427e-07,,7.788873517711181e-06,,549,
,,,,,1e-06,599,
0,,9.999999974752427e-07,,1.035321292874869e-05,,599,
,,,,,1e-06,649,
0,,9.999999974752427e-07,,7.928787454147823e-06,,649,
,,,,,1e-06,699,
0,,9.999999974752427e-07,,8.097582394839264e-06,,699,
,,,,,1e-06,749,
0,,9.999999974752427e-07,,8.594702194386628e-06,,749,
,,,,,1e-06,799,
0,,9.999999974752427e-07,,8.254512977146078e-06,,799,
,,,,,1e-06,849,
0,,9.999999974752427e-07,,7.651258783880621e-06,,849,
,,,,,1e-06,899,
0,,9.999999974752427e-07,,7.051030024740612e-06,,899,
,,,,,1e-06,949,
0,,9.999999974752427e-07,,7.971233571879566e-06,,949,
,,,,,1e-06,999,
0,,9.999999974752427e-07,,9.330440661869943e-06,,999,
,,,,,1e-06,1049,
0,,9.999999974752427e-07,,6.843829851277405e-06,,1049,
,,,,,1e-06,1099,
0,,9.999999974752427e-07,,9.388541002408601e-06,,1099,
,,,,,1e-06,1149,
0,,9.999999974752427e-07,,5.931820396654075e-06,,1149,
,,,,,1e-06,1199,
