epoch,learning_rate_epoch,learning_rate_step,loss_epoch,loss_step,lr-SGD,step,val_loss
,,,,,1.5e-06,49,
0,,1.500000053056283e-06,,5.639467417495325e-06,,49,
,,,,,1.5e-06,99,
0,,1.500000053056283e-06,,5.273385340842651e-06,,99,
,,,,,1.5e-06,149,
0,,1.500000053056283e-06,,6.587464213225758e-06,,149,
,,,,,1.5e-06,199,
0,,1.500000053056283e-06,,6.147674866952002e-06,,199,
,,,,,1.5e-06,249,
0,,1.500000053056283e-06,,7.092882242432097e-06,,249,
,,,,,1.5e-06,299,
0,,1.500000053056283e-06,,5.488506758410949e-06,,299,
,,,,,1.5e-06,349,
0,,1.500000053056283e-06,,5.8671648730523884e-06,,349,
,,,,,1.5e-06,399,
0,,1.500000053056283e-06,,6.544878488057293e-06,,399,
,,,,,1.5e-06,449,
0,,1.500000053056283e-06,,5.418327873485396e-06,,449,
,,,,,1.5e-06,499,
0,,1.500000053056283e-06,,5.7562092479201965e-06,,499,
,,,,,1.5e-06,549,
0,,1.500000053056283e-06,,6.053927336324705e-06,,549,
,,,,,1.5e-06,599,
0,,1.500000053056283e-06,,4.573663773044245e-06,,599,
,,,,,1.5e-06,649,
0,,1.500000053056283e-06,,6.054270215827273e-06,,649,
,,,,,1.5e-06,699,
0,,1.500000053056283e-06,,5.663463980454253e-06,,699,
,,,,,1.5e-06,749,
0,,1.500000053056283e-06,,5.567127573158359e-06,,749,
,,,,,1.5e-06,799,
0,,1.500000053056283e-06,,5.620822321361629e-06,,799,
,,,,,1.5e-06,849,
0,,1.500000053056283e-06,,6.597577339562122e-06,,849,
,,,,,1.5e-06,899,
0,,1.500000053056283e-06,,6.907098850206239e-06,,899,
,,,,,1.5e-06,949,
0,,1.500000053056283e-06,,5.26946541867801e-06,,949,
,,,,,1.5e-06,999,
0,,1.500000053056283e-06,,5.25206496604369e-06,,999,
,,,,,1.5e-06,1049,
0,,1.500000053056283e-06,,5.358573616831563e-06,,1049,
,,,,,1.5e-06,1099,
0,,1.500000053056283e-06,,5.412673999671824e-06,,1099,
,,,,,1.5e-06,1149,
0,,1.500000053056283e-06,,6.547003977175336e-06,,1149,
,,,,,1.5e-06,1199,
0,,1.500000053056283e-06,,5.99116037847125e-06,,1199,
,,,,,1.5e-06,1249,
0,,1.500000053056283e-06,,6.885101356601808e-06,,1249,
,,,,,1.5e-06,1299,
0,,1.500000053056283e-06,,7.2886159614427015e-06,,1299,
,,,,,1.5e-06,1349,
0,,1.500000053056283e-06,,5.1274132601975e-06,,1349,
,,,,,1.5e-06,1399,
0,,1.500000053056283e-06,,5.949215847067535e-06,,1399,
,,,,,1.5e-06,1449,
0,,1.500000053056283e-06,,6.311710421869066e-06,,1449,
,,,,,1.5e-06,1499,
0,,1.500000053056283e-06,,4.816838554688729e-06,,1499,
,,,,,1.5e-06,1549,
0,,1.500000053056283e-06,,6.185689017002005e-06,,1549,
,,,,,1.5e-06,1599,
0,,1.500000053056283e-06,,4.277482730685733e-06,,1599,
,,,,,1.5e-06,1649,
0,,1.500000053056283e-06,,4.562497451843228e-06,,1649,
,,,,,1.5e-06,1699,
0,,1.500000053056283e-06,,5.845120540470816e-06,,1699,
,,,,,1.5e-06,1749,
0,,1.500000053056283e-06,,6.302037036221009e-06,,1749,
,,,,,1.5e-06,1799,
0,,1.500000053056283e-06,,5.652510481013451e-06,,1799,
,,,,,1.5e-06,1849,
0,,1.500000053056283e-06,,4.872705630987184e-06,,1849,
,,,,,1.5e-06,1899,
0,,1.500000053056283e-06,,5.89163528275094e-06,,1899,
,,,,,1.5e-06,1949,
0,,1.500000053056283e-06,,6.0595157265197486e-06,,1949,
,,,,,1.5e-06,1999,
0,,1.500000053056283e-06,,5.555044481297955e-06,,1999,
,,,,,1.5e-06,2049,
0,,1.500000053056283e-06,,4.467896815185668e-06,,2049,
,,,,,1.5e-06,2099,
0,,1.500000053056283e-06,,6.179895535751712e-06,,2099,
,,,,,1.5e-06,2149,
0,,1.500000053056283e-06,,5.235850949247833e-06,,2149,
,,,,,1.5e-06,2199,
0,,1.500000053056283e-06,,6.451993613154627e-06,,2199,
,,,,,1.5e-06,2249,
0,,1.500000053056283e-06,,5.909445917495759e-06,,2249,
,,,,,1.5e-06,2299,
0,,1.500000053056283e-06,,4.430791250342736e-06,,2299,
,,,,,1.5e-06,2349,
0,,1.500000053056283e-06,,6.001713245495921e-06,,2349,
,,,,,1.5e-06,2399,
0,,1.500000053056283e-06,,6.185589882079512e-06,,2399,
,,,,,1.5e-06,2449,
0,,1.500000053056283e-06,,5.68420273339143e-06,,2449,
,,,,,1.5e-06,2499,
0,,1.500000053056283e-06,,6.220047453098232e-06,,2499,
,,,,,1.5e-06,2549,
0,,1.500000053056283e-06,,7.464239388355054e-06,,2549,
,,,,,1.5e-06,2599,
0,,1.500000053056283e-06,,5.717414296668721e-06,,2599,
,,,,,1.5e-06,2649,
0,,1.500000053056283e-06,,6.59575516692712e-06,,2649,
,,,,,1.5e-06,2699,
0,,1.500000053056283e-06,,5.1298502512509e-06,,2699,
,,,,,1.5e-06,2749,
0,,1.500000053056283e-06,,6.128957920736866e-06,,2749,
,,,,,1.5e-06,2799,
0,,1.500000053056283e-06,,5.632850843539927e-06,,2799,
,,,,,1.5e-06,2849,
0,,1.500000053056283e-06,,5.545411568164127e-06,,2849,
,,,,,1.5e-06,2899,
0,,1.500000053056283e-06,,7.992890459718183e-06,,2899,
,,,,,1.5e-06,2949,
0,,1.500000053056283e-06,,6.2622530094813555e-06,,2949,
,,,,,1.5e-06,2999,
0,,1.500000053056283e-06,,4.900632575299824e-06,,2999,
,,,,,1.5e-06,3049,
0,,1.500000053056283e-06,,7.04506783222314e-06,,3049,
,,,,,1.5e-06,3099,
0,,1.500000053056283e-06,,5.847317424922949e-06,,3099,
,,,,,1.5e-06,3149,
0,,1.500000053056283e-06,,5.721506113331998e-06,,3149,
,,,,,1.5e-06,3199,
0,,1.500000053056283e-06,,5.5848377087386325e-06,,3199,
,,,,,1.5e-06,3249,
