epoch,learning_rate_step,loss_step,lr-AdamW,step
,,,7.78289343482927e-06,49
0,7.782893590047024e-06,3.493405893095769e-05,,49
,,,7.78289343482927e-06,99
0,7.782893590047024e-06,1.9501318092807196e-05,,99
,,,7.78289343482927e-06,149
0,7.782893590047024e-06,1.4252728760766331e-05,,149
,,,7.78289343482927e-06,199
0,7.782893590047024e-06,1.0059306987386663e-05,,199
,,,7.78289343482927e-06,249
0,7.782893590047024e-06,1.1433843610575423e-05,,249
,,,7.78289343482927e-06,299
0,7.782893590047024e-06,9.330914508609567e-06,,299
,,,7.78289343482927e-06,349
0,7.782893590047024e-06,9.921255696099252e-06,,349
,,,7.78289343482927e-06,399
0,7.782893590047024e-06,9.512069482298102e-06,,399
,,,7.78289343482927e-06,449
0,7.782893590047024e-06,9.188060175802093e-06,,449
,,,7.78289343482927e-06,499
0,7.782893590047024e-06,9.503587534709368e-06,,499
,,,7.78289343482927e-06,549
0,7.782893590047024e-06,9.028989552462008e-06,,549
,,,7.78289343482927e-06,599
0,7.782893590047024e-06,9.44110161071876e-06,,599
,,,7.78289343482927e-06,649
0,7.782893590047024e-06,7.98524069978157e-06,,649
,,,7.78289343482927e-06,699
0,7.782893590047024e-06,1.0269337508361787e-05,,699
,,,7.78289343482927e-06,749
0,7.782893590047024e-06,8.166076440829784e-06,,749
,,,7.78289343482927e-06,799
0,7.782893590047024e-06,8.675948265590705e-06,,799
,,,7.78289343482927e-06,849
0,7.782893590047024e-06,7.856299816921819e-06,,849
,,,7.78289343482927e-06,899
0,7.782893590047024e-06,9.393997061124537e-06,,899
,,,7.78289343482927e-06,949
0,7.782893590047024e-06,8.345247806573752e-06,,949
,,,7.78289343482927e-06,999
0,7.782893590047024e-06,8.390376933675725e-06,,999
,,,7.78289343482927e-06,1049
0,7.782893590047024e-06,9.751803190738428e-06,,1049
,,,7.78289343482927e-06,1099
0,7.782893590047024e-06,7.2097031988960225e-06,,1099
,,,7.78289343482927e-06,1149
0,7.782893590047024e-06,7.161064331739908e-06,,1149
,,,7.78289343482927e-06,1199
0,7.782893590047024e-06,8.188995707314461e-06,,1199
,,,7.78289343482927e-06,1249
0,7.782893590047024e-06,6.944463621039176e-06,,1249
,,,7.78289343482927e-06,1299
0,7.782893590047024e-06,8.31885881780181e-06,,1299
,,,7.78289343482927e-06,1349
0,7.782893590047024e-06,8.989333764475305e-06,,1349
,,,7.78289343482927e-06,1399
0,7.782893590047024e-06,8.5130714069237e-06,,1399
,,,7.78289343482927e-06,1449
0,7.782893590047024e-06,7.655311492271721e-06,,1449
,,,7.78289343482927e-06,1499
0,7.782893590047024e-06,7.888294021540787e-06,,1499
,,,7.78289343482927e-06,1549
0,7.782893590047024e-06,8.903437446861062e-06,,1549
,,,7.78289343482927e-06,1599
0,7.782893590047024e-06,9.584449799149297e-06,,1599
,,,7.78289343482927e-06,1649
0,7.782893590047024e-06,9.211039468937088e-06,,1649
,,,7.78289343482927e-06,1699
0,7.782893590047024e-06,6.97781479175319e-06,,1699
,,,7.78289343482927e-06,1749
0,7.782893590047024e-06,7.044661288091447e-06,,1749
,,,7.78289343482927e-06,1799
0,7.782893590047024e-06,6.714744358760072e-06,,1799
,,,7.78289343482927e-06,1849
0,7.782893590047024e-06,8.126357897708658e-06,,1849
,,,7.78289343482927e-06,1899
0,7.782893590047024e-06,6.714953997288831e-06,,1899
,,,7.78289343482927e-06,1949
0,7.782893590047024e-06,7.965562872414012e-06,,1949
,,,7.78289343482927e-06,1999
0,7.782893590047024e-06,7.281718353624456e-06,,1999
,,,7.78289343482927e-06,2049
0,7.782893590047024e-06,6.465167643909808e-06,,2049
,,,7.78289343482927e-06,2099
0,7.782893590047024e-06,8.296049600176048e-06,,2099
,,,7.78289343482927e-06,2149
0,7.782893590047024e-06,7.684719093958847e-06,,2149
,,,7.78289343482927e-06,2199
0,7.782893590047024e-06,7.723700946371537e-06,,2199
,,,7.78289343482927e-06,2249
0,7.782893590047024e-06,7.840762918931432e-06,,2249
,,,7.78289343482927e-06,2299
0,7.782893590047024e-06,7.182514764281223e-06,,2299
,,,7.78289343482927e-06,2349
0,7.782893590047024e-06,8.262673873105086e-06,,2349
,,,7.78289343482927e-06,2399
0,7.782893590047024e-06,9.574402611178812e-06,,2399
,,,7.78289343482927e-06,2449
0,7.782893590047024e-06,7.68576683185529e-06,,2449
,,,7.78289343482927e-06,2499
0,7.782893590047024e-06,7.132786777219735e-06,,2499
,,,7.78289343482927e-06,2549
0,7.782893590047024e-06,7.543320407421561e-06,,2549
,,,7.78289343482927e-06,2599
0,7.782893590047024e-06,7.41214307709015e-06,,2599
,,,7.78289343482927e-06,2649
0,7.782893590047024e-06,1.3197487533034291e-05,,2649
,,,7.78289343482927e-06,2699
0,7.782893590047024e-06,7.881237252149731e-06,,2699
,,,7.78289343482927e-06,2749
0,7.782893590047024e-06,6.8354652285052e-06,,2749
,,,7.78289343482927e-06,2799
0,7.782893590047024e-06,6.799933089496335e-06,,2799
,,,7.78289343482927e-06,2849
0,7.782893590047024e-06,7.286862455657683e-06,,2849
