epoch,learning_rate,learning_rate_step,loss1_step,loss2_step,step
,1.0081652009911015e-05,,,,49
0,,1.0081652362714522e-05,0.2316543608903885,1.1249803304672241,49
,1.0332608544025896e-05,,,,99
0,,1.0332608326280024e-05,0.29986387491226196,0.6955987215042114,99
,1.0750770091763575e-05,,,,149
0,,1.075077034329297e-05,0.3764253556728363,0.43894004821777344,149
,1.133258159563496e-05,,,,199
0,,1.1332581379974727e-05,0.38556602597236633,0.3273795545101166,199
,1.2073096705706036e-05,,,,249
0,,1.2073096513631754e-05,0.41525164246559143,0.23579230904579163,249
,1.2966019831667115e-05,,,,299
0,,1.2966020221938379e-05,0.3817268908023834,0.19959205389022827,299
,1.4003759665653348e-05,,,,349
0,,1.4003760043124203e-05,0.43274345993995667,0.15865668654441833,349
,1.5177493720785027e-05,,,,399
0,,1.5177493878582027e-05,0.40161776542663574,0.14365284144878387,399
,1.647724333674428e-05,,,,449
0,,1.6477242752444e-05,0.435075968503952,0.11600635200738907,449
,1.7891958514718133e-05,,,,499
0,,1.7891958123072982e-05,0.42182111740112305,0.1105031967163086,499
,1.9409611860472082e-05,,,,549
0,,1.9409611923038028e-05,0.41312724351882935,0.10041016340255737,549
,2.1017300836884235e-05,,,,599
0,,2.1017300241510384e-05,0.4023735523223877,0.09695377200841904,599
,2.2701357456626224e-05,,,,649
0,,2.270135701110121e-05,0.3655512034893036,0.09418569505214691,649
,2.444746448242356e-05,,,,699
0,,2.4447464966215193e-05,0.32525333762168884,0.09892094880342484,699
,2.6240777147003027e-05,,,,749
0,,2.6240777515340596e-05,0.31454023718833923,0.10353993624448776,749
,2.8066049357908364e-05,,,,799
0,,2.80660497082863e-05,0.27361512184143066,0.1103295236825943,799
,2.990776331423687e-05,,,,849
0,,2.9907763746450655e-05,0.21185842156410217,0.1156863197684288,849
,3.175026143334233e-05,,,,899
0,,3.1750259950058535e-05,0.18454430997371674,0.11854832619428635,899
,3.3577879465911616e-05,,,,949
0,,3.357787863933481e-05,0.1627681702375412,0.10986211150884628,949
,3.537507966771888e-05,,,,999
0,,3.5375080187805e-05,0.15218155086040497,0.10651195049285889,999
,3.712658289587937e-05,,,,1049
0,,3.7126581446500495e-05,0.14697542786598206,0.10686385631561279,1049
,3.881749850656874e-05,,,,1099
0,,3.8817499444121495e-05,0.13513468205928802,0.1076514944434166,1099
,4.04334509498645e-05,,,,1149
0,,4.0433449612464756e-05,0.13715337216854095,0.09968052059412003,1149
,4.196070198544637e-05,,,,1199
0,,4.1960702219512314e-05,0.12532590329647064,0.09013747423887253,1199
,4.338626748012206e-05,,,,1249
0,,4.3386266042944044e-05,0.12353761494159698,0.09210433810949326,1249
,4.469802779420822e-05,,,,1299
0,,4.469802661333233e-05,0.12180574238300323,0.09123603254556656,1299
,4.588483081830195e-05,,,,1349
0,,4.588482988765463e-05,0.11683674901723862,0.08481188118457794,1349
,4.693658678446147e-05,,,,1399
0,,4.693658775067888e-05,0.12127106636762619,0.08758272975683212,1399
,4.7844354045745776e-05,,,,1449
0,,4.784435441251844e-05,0.114527128636837,0.07523571699857712,1449
,4.860041509484696e-05,,,,1499
0,,4.860041372012347e-05,0.12670265138149261,0.08559266477823257,1499
,4.9198342175532184e-05,,,,1549
0,,4.919834100292064e-05,0.11950116604566574,0.08104076236486435,1549
,4.9633051929090894e-05,,,,1599
0,,4.9633050366537645e-05,0.10022240877151489,0.074552983045578,1599
,4.990084861120294e-05,,,,1649
0,,4.990084926248528e-05,0.11610428243875504,0.07632651180028915,1649
,4.999945551181347e-05,,,,1699
0,,4.99994566780515e-05,0.10348520427942276,0.07001218944787979,1699
,4.999999091863733e-05,,,,1749
0,,4.9999991460936144e-05,0.10051067918539047,0.06800098717212677,1749
,4.999996044715446e-05,,,,1799
0,,4.999995871912688e-05,0.10149132460355759,0.07114405930042267,1799
,4.999990851690964e-05,,,,1849
0,,4.999990778742358e-05,0.09406045079231262,0.0657457634806633,1849
,4.99998351279479e-05,,,,1899
0,,4.999983502784744e-05,0.09468864649534225,0.06562723964452744,1899
,4.999974028033287e-05,,,,1949
0,,4.9999740440398455e-05,0.10307855904102325,0.07502635568380356,1949
,4.99996239741468e-05,,,,1999
0,,4.999962402507663e-05,0.08603136241436005,0.06155523285269737,1999
,4.99994862094905e-05,,,,2049
0,,4.999948578188196e-05,0.10409412533044815,0.06540147215127945,2049
,4.999932698648344e-05,,,,2099
0,,4.9999325710814446e-05,0.0904824435710907,0.06091386079788208,2099
,4.999914630526367e-05,,,,2149
0,,4.99991474498529e-05,0.08973278105258942,0.060844480991363525,2149
,4.999894416598782e-05,,,,2199
0,,4.99989437230397e-05,0.09400295466184616,0.06501917541027069,2199
,4.9998720568831184e-05,,,,2249
0,,4.999872180633247e-05,0.08280429989099503,0.06054360792040825,2249
,4.999847551398759e-05,,,,2299
0,,4.999847442377359e-05,0.08725884556770325,0.05870842933654785,2299
,4.999820900166954e-05,,,,2349
0,,4.999820885132067e-05,0.08879013359546661,0.06021590158343315,2349
,4.999792103210807e-05,,,,2399
0,,4.999792145099491e-05,0.07889354974031448,0.05691663548350334,2399
,4.9997611605552894e-05,,,,2449
0,,4.9997612222796306e-05,0.0872112438082695,0.06026814132928848,2449
,4.999728072227226e-05,,,,2499
0,,4.999728116672486e-05,0.08417408913373947,0.05476104095578194,2499
,4.999692838255307e-05,,,,2549
0,,4.999692828278057e-05,0.07879858464002609,0.05441931635141373,2549
,4.999655458670081e-05,,,,2599
0,,4.999655357096344e-05,0.06741716712713242,0.04563024267554283,2599
,4.9996159335039554e-05,,,,2649
0,,4.9996160669252276e-05,0.07504341751337051,0.05186101421713829,2649
,4.9995742627912e-05,,,,2699
0,,4.999574230168946e-05,0.08821868151426315,0.06406605243682861,2699
,4.999530446567946e-05,,,,2749
0,,4.999530574423261e-05,0.0774742141366005,0.05051608756184578,2749
,4.999484484872181e-05,,,,2799
0,,4.999484372092411e-05,0.08004317432641983,0.053827788680791855,2799
,4.9994363777437545e-05,,,,2849
0,,4.999436350772157e-05,0.08374098688364029,0.05608928203582764,2849
,4.999386125224378e-05,,,,2899
0,,4.9993861466646194e-05,0.07729911804199219,0.0538036935031414,2899
,4.999333727357621e-05,,,,2949
0,,4.999333759769797e-05,0.092811219394207,0.05791734531521797,2949
,4.9992791841889135e-05,,,,2999
0,,4.999279190087691e-05,0.07508368790149689,0.055635761469602585,2999
,4.9992224957655455e-05,,,,3049
0,,4.9992224376183e-05,0.0793980211019516,0.05494704842567444,3049
,4.9991636621366676e-05,,,,3099
0,,4.9991635023616254e-05,0.07005294412374496,0.0456419475376606,3099
,4.999102683353289e-05,,,,3149
0,,4.999102748115547e-05,0.07758599519729614,0.056338369846343994,3149
,4.9990395594682806e-05,,,,3199
0,,4.9990394472843036e-05,0.07141023874282837,0.04939001426100731,3199
,4.998974290536372e-05,,,,3249
0,,4.998974327463657e-05,0.0641159787774086,0.04505471512675285,3249
,4.998906876614152e-05,,,,3299
0,,4.9989070248557255e-05,0.07028215378522873,0.04616266116499901,3299
